system,source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec,runtime_source
BigQuery,1,1,2026-08-10T15:24:39.579Z,5232720,1,Single-symbol summary,0.900000000,statistics.finalExecutionDurationMs
BigQuery,2,2,2026-08-10T15:34:39.579Z,599669712,1,Single-symbol summary,3.839000000,statistics.finalExecutionDurationMs
BigQuery,3,3,2026-08-10T15:44:39.579Z,1204153604,1,Single-symbol summary,3.169000000,statistics.finalExecutionDurationMs
BigQuery,4,4,2026-08-10T15:54:39.579Z,1798945157,1,Single-symbol summary,3.175000000,statistics.finalExecutionDurationMs
BigQuery,5,5,2026-08-10T16:04:39.579Z,2404139754,1,Single-symbol summary,5.556000000,statistics.finalExecutionDurationMs
BigQuery,6,6,2026-08-10T16:14:39.579Z,2999571237,1,Single-symbol summary,3.714000000,statistics.finalExecutionDurationMs
BigQuery,7,7,2026-08-10T16:24:39.579Z,3604604487,1,Single-symbol summary,4.659000000,statistics.finalExecutionDurationMs
BigQuery,8,8,2026-08-10T16:34:39.579Z,4200630784,1,Single-symbol summary,4.704000000,statistics.finalExecutionDurationMs
BigQuery,9,9,2026-08-10T16:44:39.579Z,4806321958,1,Single-symbol summary,3.732000000,statistics.finalExecutionDurationMs
BigQuery,10,10,2026-08-10T16:54:39.579Z,5401780675,1,Single-symbol summary,3.463000000,statistics.finalExecutionDurationMs
BigQuery,11,11,2026-08-10T17:04:39.579Z,6006834385,1,Single-symbol summary,4.268000000,statistics.finalExecutionDurationMs
BigQuery,12,12,2026-08-10T17:14:39.579Z,6603040177,1,Single-symbol summary,3.462000000,statistics.finalExecutionDurationMs
BigQuery,13,13,2026-08-10T17:24:39.579Z,7198608906,1,Single-symbol summary,4.174000000,statistics.finalExecutionDurationMs
BigQuery,14,14,2026-08-10T17:34:39.579Z,7804165428,1,Single-symbol summary,3.748000000,statistics.finalExecutionDurationMs
BigQuery,15,15,2026-08-10T17:44:39.579Z,8398706590,1,Single-symbol summary,4.635000000,statistics.finalExecutionDurationMs
BigQuery,16,16,2026-08-10T17:54:39.579Z,9004585989,1,Single-symbol summary,3.899000000,statistics.finalExecutionDurationMs
BigQuery,17,17,2026-08-10T18:04:39.579Z,9600096783,1,Single-symbol summary,4.287000000,statistics.finalExecutionDurationMs
BigQuery,18,18,2026-08-10T18:14:39.579Z,10205456446,1,Single-symbol summary,4.444000000,statistics.finalExecutionDurationMs
BigQuery,19,19,2026-08-10T18:24:39.579Z,10800483240,1,Single-symbol summary,3.907000000,statistics.finalExecutionDurationMs
BigQuery,20,20,2026-08-10T18:34:39.579Z,11406693852,1,Single-symbol summary,6.185000000,statistics.finalExecutionDurationMs
