system,source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec,runtime_source
BigQuery,1,1,2026-08-10T15:24:41.101Z,5232720,1,Hourly OHLCV bars,0.960000000,statistics.finalExecutionDurationMs
BigQuery,2,2,2026-08-10T16:24:41.101Z,3604604487,1,Hourly OHLCV bars,3.778000000,statistics.finalExecutionDurationMs
BigQuery,3,3,2026-08-10T17:24:41.101Z,7208681892,1,Hourly OHLCV bars,4.257000000,statistics.finalExecutionDurationMs
BigQuery,4,4,2026-08-10T18:24:41.101Z,10810687044,1,Hourly OHLCV bars,3.637000000,statistics.finalExecutionDurationMs
BigQuery,5,5,2026-08-10T19:24:41.101Z,14404336229,1,Hourly OHLCV bars,4.253000000,statistics.finalExecutionDurationMs
BigQuery,6,6,2026-08-10T20:24:41.101Z,18008545549,1,Hourly OHLCV bars,3.366000000,statistics.finalExecutionDurationMs
BigQuery,7,7,2026-08-10T21:24:41.101Z,21601183337,1,Hourly OHLCV bars,3.099000000,statistics.finalExecutionDurationMs
BigQuery,8,8,2026-08-10T22:24:41.101Z,25206685539,1,Hourly OHLCV bars,3.400000000,statistics.finalExecutionDurationMs
BigQuery,9,9,2026-08-10T23:24:41.101Z,28801641121,1,Hourly OHLCV bars,2.661000000,statistics.finalExecutionDurationMs
BigQuery,10,10,2026-08-11T00:24:41.101Z,32408058443,1,Hourly OHLCV bars,3.127000000,statistics.finalExecutionDurationMs
BigQuery,11,11,2026-08-11T01:24:41.101Z,36003582107,1,Hourly OHLCV bars,2.691000000,statistics.finalExecutionDurationMs
BigQuery,12,12,2026-08-11T02:24:41.101Z,39606099320,1,Hourly OHLCV bars,3.275000000,statistics.finalExecutionDurationMs
BigQuery,13,13,2026-08-11T03:24:41.101Z,43199914240,1,Hourly OHLCV bars,3.244000000,statistics.finalExecutionDurationMs
BigQuery,14,14,2026-08-11T04:24:41.101Z,46805853812,1,Hourly OHLCV bars,3.805000000,statistics.finalExecutionDurationMs
BigQuery,15,15,2026-08-11T05:24:41.101Z,50401430353,1,Hourly OHLCV bars,3.069000000,statistics.finalExecutionDurationMs
BigQuery,16,16,2026-08-11T06:24:41.101Z,53996988224,1,Hourly OHLCV bars,2.889000000,statistics.finalExecutionDurationMs
BigQuery,17,17,2026-08-11T07:24:41.101Z,57603715749,1,Hourly OHLCV bars,2.789000000,statistics.finalExecutionDurationMs
BigQuery,18,18,2026-08-11T08:24:41.101Z,61199564057,1,Hourly OHLCV bars,3.205000000,statistics.finalExecutionDurationMs
BigQuery,19,19,2026-08-11T09:24:41.101Z,64793072681,1,Hourly OHLCV bars,3.220000000,statistics.finalExecutionDurationMs
BigQuery,20,20,2026-08-11T10:24:41.101Z,68395308517,1,Hourly OHLCV bars,2.924000000,statistics.finalExecutionDurationMs
BigQuery,21,21,2026-08-11T11:24:41.101Z,71987342393,1,Hourly OHLCV bars,3.171000000,statistics.finalExecutionDurationMs
BigQuery,22,22,2026-08-11T12:24:41.101Z,75577981475,1,Hourly OHLCV bars,2.737000000,statistics.finalExecutionDurationMs
BigQuery,23,23,2026-08-11T13:24:41.101Z,79170037334,1,Hourly OHLCV bars,3.257000000,statistics.finalExecutionDurationMs
BigQuery,24,24,2026-08-11T14:24:41.101Z,82761715116,1,Hourly OHLCV bars,3.547000000,statistics.finalExecutionDurationMs
BigQuery,25,25,2026-08-11T15:24:41.101Z,86354594018,1,Hourly OHLCV bars,3.796000000,statistics.finalExecutionDurationMs
BigQuery,26,26,2026-08-11T16:24:41.101Z,89952672588,1,Hourly OHLCV bars,2.914000000,statistics.finalExecutionDurationMs
BigQuery,27,27,2026-08-11T17:24:41.101Z,93548598329,1,Hourly OHLCV bars,3.604000000,statistics.finalExecutionDurationMs
BigQuery,28,28,2026-08-11T18:24:41.101Z,97155331056,1,Hourly OHLCV bars,4.112000000,statistics.finalExecutionDurationMs
ClickHouse Cloud,2,2,2026-08-08T07:56:02Z,3742528876,1,Hourly OHLCV bars,0.865000000,clickhouse-client --time
ClickHouse Cloud,3,3,2026-08-08T08:56:02Z,7149139248,1,Hourly OHLCV bars,0.557000000,clickhouse-client --time
ClickHouse Cloud,4,4,2026-08-08T09:56:02Z,10451300014,1,Hourly OHLCV bars,0.589000000,clickhouse-client --time
ClickHouse Cloud,5,5,2026-08-08T10:56:02Z,13693746344,1,Hourly OHLCV bars,0.935000000,clickhouse-client --time
ClickHouse Cloud,6,6,2026-08-08T11:56:02Z,17207612605,1,Hourly OHLCV bars,0.508000000,clickhouse-client --time
ClickHouse Cloud,7,7,2026-08-08T12:56:02Z,20600910656,1,Hourly OHLCV bars,0.898000000,clickhouse-client --time
ClickHouse Cloud,8,8,2026-08-08T13:56:02Z,23847648964,1,Hourly OHLCV bars,0.831000000,clickhouse-client --time
ClickHouse Cloud,9,9,2026-08-08T14:56:02Z,27120394813,1,Hourly OHLCV bars,0.723000000,clickhouse-client --time
ClickHouse Cloud,10,10,2026-08-08T15:56:02Z,30468775164,1,Hourly OHLCV bars,0.782000000,clickhouse-client --time
ClickHouse Cloud,11,11,2026-08-08T16:56:02Z,33749879001,1,Hourly OHLCV bars,0.587000000,clickhouse-client --time
ClickHouse Cloud,12,12,2026-08-08T17:56:02Z,36853722010,1,Hourly OHLCV bars,1.080000000,clickhouse-client --time
ClickHouse Cloud,13,13,2026-08-08T18:56:02Z,39940404643,1,Hourly OHLCV bars,0.728000000,clickhouse-client --time
ClickHouse Cloud,14,14,2026-08-08T19:56:02Z,43039194322,1,Hourly OHLCV bars,0.927000000,clickhouse-client --time
ClickHouse Cloud,15,15,2026-08-08T20:56:02Z,46111116140,1,Hourly OHLCV bars,0.829000000,clickhouse-client --time
ClickHouse Cloud,16,16,2026-08-08T21:56:02Z,49175866023,1,Hourly OHLCV bars,0.878000000,clickhouse-client --time
ClickHouse Cloud,17,17,2026-08-08T22:56:02Z,52443266481,1,Hourly OHLCV bars,0.657000000,clickhouse-client --time
ClickHouse Cloud,18,18,2026-08-08T23:56:02Z,55419548257,1,Hourly OHLCV bars,0.692000000,clickhouse-client --time
