source_line,iteration,observed_at,base_table_rows,lag_seconds,lag_minutes,plotted_lag_minutes,refresh_watermark,phase
13,13,2026-08-10T15:36:42.721Z,730226076,311.003401,5.183390017,5.183390017,2026-08-10T15:31:31.718Z,active
18,18,2026-08-10T15:41:42.721Z,1022839856,301.865397,5.031089950,5.031089950,2026-08-10T15:36:40.856Z,active
23,23,2026-08-10T15:46:42.721Z,1325683526,288.941399,4.815689983,4.815689983,2026-08-10T15:41:53.780Z,active
28,28,2026-08-10T15:51:42.721Z,1627884490,283.268397,4.721139950,4.721139950,2026-08-10T15:46:59.453Z,active
33,33,2026-08-10T15:56:42.721Z,1930024793,275.437401,4.590623350,4.590623350,2026-08-10T15:52:07.284Z,active
39,39,2026-08-10T16:02:42.721Z,2282871468,319.111400,5.318523333,5.318523333,2026-08-10T15:57:23.610Z,active
44,44,2026-08-10T16:07:42.721Z,2586107592,300.384400,5.006406667,5.006406667,2026-08-10T16:02:42.337Z,active
49,49,2026-08-10T16:12:42.721Z,2888427990,289.704399,4.828406650,4.828406650,2026-08-10T16:07:53.017Z,active
54,54,2026-08-10T16:17:42.721Z,3191612061,273.339397,4.555656617,4.555656617,2026-08-10T16:13:09.382Z,active
59,59,2026-08-10T16:22:42.721Z,3483728655,269.878404,4.497973400,4.497973400,2026-08-10T16:18:12.843Z,active
65,65,2026-08-10T16:28:42.721Z,3846898912,308.417403,5.140290050,5.140290050,2026-08-10T16:23:34.304Z,active
70,70,2026-08-10T16:33:42.721Z,4150658308,299.109404,4.985156733,4.985156733,2026-08-10T16:28:43.612Z,active
75,75,2026-08-10T16:38:42.721Z,4442909554,284.301398,4.738356633,4.738356633,2026-08-10T16:33:58.420Z,active
80,80,2026-08-10T16:43:42.721Z,4745753224,271.611404,4.526856733,4.526856733,2026-08-10T16:39:11.110Z,active
85,85,2026-08-10T16:48:42.721Z,5049356983,261.011404,4.350190067,4.350190067,2026-08-10T16:44:21.710Z,active
91,91,2026-08-10T16:54:42.721Z,5401780675,309.214400,5.153573333,5.153573333,2026-08-10T16:49:33.507Z,active
96,96,2026-08-10T16:59:42.721Z,5705168077,298.198399,4.969973317,4.969973317,2026-08-10T16:54:44.523Z,active
101,101,2026-08-10T17:04:42.721Z,6006834385,289.087403,4.818123383,4.818123383,2026-08-10T16:59:53.634Z,active
106,106,2026-08-10T17:09:42.721Z,6310332145,284.836398,4.747273300,4.747273300,2026-08-10T17:04:57.885Z,active
112,112,2026-08-10T17:15:42.721Z,6664132183,335.694396,5.594906600,5.594906600,2026-08-10T17:10:07.027Z,active
