``completed_at,seconds_since_prev_refresh
2026-06-11T08:37:13.073Z,571
2026-06-11T08:27:41.418Z,313
2026-06-11T08:22:27.927Z,456
2026-06-11T08:14:51.879Z,587
2026-06-11T08:05:04.105Z,436
2026-06-11T07:57:47.301Z,622
2026-06-11T07:47:24.442Z,510
2026-06-11T07:38:53.594Z,601
2026-06-11T07:28:52.582Z,506
2026-06-11T07:20:25.807Z,396
2026-06-11T07:13:49.476Z,602
2026-06-11T07:03:46.537Z,581
2026-06-11T06:54:04.983Z,474
2026-06-11T06:46:10.764Z,420
2026-06-11T06:39:10.606Z,634
2026-06-11T06:28:36.281Z,504
2026-06-11T06:20:11.923Z,374
2026-06-11T06:13:57.557Z,616
2026-06-11T06:03:41.210Z,348
2026-06-11T05:57:53.197Z,592
2026-06-11T05:48:00.278Z,600
2026-06-11T05:38:00.206Z,608
2026-06-11T05:27:51.827Z,621
2026-06-11T05:17:30.002Z,275
2026-06-11T05:12:54.073Z,642
2026-06-11T05:02:11.428Z,468
2026-06-11T04:54:22.447Z,392
2026-06-11T04:47:49.900Z,590
2026-06-11T04:37:59.103Z,564
2026-06-11T04:28:34.184Z,493
2026-06-11T04:20:21.134Z,511
2026-06-11T04:11:49.247Z,482
2026-06-11T04:03:46.424Z,626
2026-06-11T03:53:19.905Z,428
2026-06-11T03:46:11.352Z,447
2026-06-11T03:38:43.881Z,616
2026-06-11T03:28:27.557Z,558
2026-06-11T03:19:08.830Z,329
2026-06-11T03:13:39.164Z,620
2026-06-11T03:03:18.256Z,588
2026-06-11T02:53:29.537Z,434
2026-06-11T02:46:15.443Z,462
2026-06-11T02:38:32.566Z,601
2026-06-11T02:28:30.569Z,478
2026-06-11T02:20:31.884Z,299
2026-06-11T02:15:32.683Z,293
2026-06-11T02:10:38.981Z,518
2026-06-11T02:02:00.855Z,478
2026-06-11T01:54:01.869Z,307
2026-06-11T01:48:54.722Z,594
2026-06-11T01:39:00.268Z,634
2026-06-11T01:28:25.450Z,556
2026-06-11T01:19:09.408Z,461
2026-06-11T01:11:27.743Z,351
2026-06-11T01:05:36.280Z,592
2026-06-11T00:55:43.873Z,595
2026-06-11T00:45:48.039Z,371
2026-06-11T00:39:36.654Z,276
2026-06-11T00:35:00.391Z,486
2026-06-11T00:26:53.936Z,631
2026-06-11T00:16:22.557Z,285
2026-06-11T00:11:37.051Z,572
2026-06-11T00:02:04.749Z,545
2026-06-10T23:52:59.018Z,374
2026-06-10T23:46:44.054Z,599
2026-06-10T23:36:44.340Z,608
2026-06-10T23:26:35.803Z,572
2026-06-10T23:17:03.699Z,453
2026-06-10T23:09:30.049Z,483
2026-06-10T23:01:26.400Z,426
2026-06-10T22:54:19.555Z,274
2026-06-10T22:49:44.770Z,585
2026-06-10T22:39:59.606Z,495
2026-06-10T22:31:44.526Z,603
2026-06-10T22:21:40.960Z,591
2026-06-10T22:11:49.487Z,570
2026-06-10T22:02:18.871Z,568
2026-06-10T21:52:50.174Z,321
2026-06-10T21:47:28.269Z,301
2026-06-10T21:42:26.394Z,464
2026-06-10T21:34:41.794Z,418
2026-06-10T21:27:42.995Z,594
2026-06-10T21:17:48.180Z,495
2026-06-10T21:09:32.389Z,587
