source_index,observed_at,collected_until,raw_rows,mv_source_rows,rows_behind,refresh_age_seconds
1,2026-09-18T17:07:42.353Z,2026-09-18T17:08:28.309Z,49171842,19337792,29834050,17.534709
2,2026-09-18T17:08:42.353Z,2026-09-18T17:09:28.834Z,101983950,76212804,25771146,13.297699
3,2026-09-18T17:09:42.353Z,2026-09-18T17:10:28.574Z,168633676,138251354,30382322,12.204723
4,2026-09-18T17:10:42.353Z,2026-09-18T17:11:28.578Z,226199414,200378268,25821146,6.877716
5,2026-09-18T17:11:42.353Z,2026-09-18T17:12:28.368Z,283247698,262447636,20800062,6.792702
6,2026-09-18T17:12:42.353Z,2026-09-18T17:13:32.165Z,345305430,324555368,20750062,6.744703
7,2026-09-18T17:13:42.353Z,2026-09-18T17:14:29.043Z,407432344,386632282,20800062,2.973686
8,2026-09-18T17:14:42.353Z,2026-09-18T17:15:30.188Z,459224636,443526476,15698160,5.575726
9,2026-09-18T17:15:42.353Z,2026-09-18T17:16:31.808Z,527715722,505638298,22077424,3.245687
10,2026-09-18T17:16:42.354Z,2026-09-18T17:17:23.652Z,578230652,567765212,10465440,0.485572
11,2026-09-18T17:17:42.353Z,2026-09-18T17:18:23.471Z,645378650,624782678,20595972,2.627726
12,2026-09-18T17:18:42.353Z,2026-09-18T17:19:24.878Z,708794562,691980676,16813886,0.418717
13,2026-09-18T17:19:42.353Z,2026-09-18T17:20:24.910Z,763742212,691980676,71761536,60.41872
14,2026-09-18T17:20:42.353Z,2026-09-18T17:21:23.970Z,827755310,754080862,73674448,56.296741
15,2026-09-18T17:21:42.353Z,2026-09-18T17:22:25.613Z,880174964,810929788,69245176,56.247727
16,2026-09-18T17:22:42.353Z,2026-09-18T17:23:26.984Z,949173596,878251058,70922538,50.436741
17,2026-09-18T17:23:42.353Z,2026-09-18T17:24:25.517Z,1001073751,935268524,65805227,51.049716
18,2026-09-18T17:24:42.353Z,2026-09-18T17:25:26.943Z,1064705072,997380029,67325043,52.777752
19,2026-09-18T17:25:42.353Z,2026-09-18T17:26:26.913Z,1120164358,1059676442,60487916,49.3367
20,2026-09-18T17:26:42.353Z,2026-09-18T17:27:26.042Z,1183861088,1116551454,67309634,52.372729
21,2026-09-18T17:27:42.353Z,2026-09-18T17:28:29.072Z,1246330456,1178820822,67509634,50.407722
22,2026-09-18T17:28:42.353Z,2026-09-18T17:29:28.744Z,1308311460,1240971008,67340452,48.712741
23,2026-09-18T17:29:42.353Z,2026-09-18T17:30:29.393Z,1360109570,1303051695,57057875,48.890733
24,2026-09-18T17:30:42.353Z,2026-09-18T17:31:27.917Z,1427736658,1365174836,62561822,46.601711
25,2026-09-18T17:31:42.353Z,2026-09-18T17:32:29.017Z,1483395944,1422211484,61184460,46.40674
26,2026-09-18T17:32:42.353Z,2026-09-18T17:33:23.235Z,1536153962,1489613572,46540390,40.131723
27,2026-09-18T17:33:42.353Z,2026-09-18T17:34:22.041Z,1608788770,1546631038,62157732,42.290716
28,2026-09-18T17:34:42.353Z,2026-09-18T17:35:23.585Z,1666903251,1608788770,58114481,43.584674
29,2026-09-18T17:35:42.353Z,2026-09-18T17:36:23.444Z,1722693355,1665625889,57067466,40.68874
30,2026-09-18T17:36:42.353Z,2026-09-18T17:37:24.290Z,1779537549,1727937711,51599838,44.230732
31,2026-09-18T17:37:42.353Z,2026-09-18T17:38:24.899Z,1848782725,1790033807,58748918,39.265725
32,2026-09-18T17:38:42.353Z,2026-09-18T17:39:24.200Z,1903826285,1852041539,51784746,39.430832
33,2026-09-18T17:39:42.353Z,2026-09-18T17:40:24.884Z,1971116737,1914272543,56844194,36.114733
34,2026-09-18T17:40:42.353Z,2026-09-18T17:41:25.358Z,2023593937,1976361093,47232844,33.61972
35,2026-09-18T17:41:42.353Z,2026-09-18T17:42:26.783Z,2079807313,2033205287,46602026,35.597738
36,2026-09-18T17:42:42.353Z,2026-09-18T17:43:38.593Z,2147147765,2095324655,51823110,33.661735
37,2026-09-18T17:43:42.353Z,2026-09-18T17:44:27.499Z,2204184413,2157644023,46540390,35.212723
38,2026-09-18T17:44:42.353Z,2026-09-18T17:45:27.659Z,2271542030,2219663391,51878639,31.592718
39,2026-09-18T17:45:42.353Z,2026-09-18T17:46:30.177Z,2328392042,2276595660,51796382,30.565712
40,2026-09-18T17:46:42.353Z,2026-09-18T17:47:27.526Z,2384120510,2343890202,40230308,27.610746
41,2026-09-18T17:47:42.353Z,2026-09-18T17:48:28.840Z,2452488324,2400996032,51492292,25.891722
42,2026-09-18T17:48:42.354Z,2026-09-18T17:49:30.850Z,2504473070,2463138355,41334715,26.248446
43,2026-09-18T17:49:42.353Z,2026-09-18T17:50:21.346Z,2559928266,2520040412,39887854,26.800749
44,2026-09-18T17:50:42.353Z,2026-09-18T17:51:22.735Z,2625972174,2582153962,43818212,24.477719
45,2026-09-18T17:51:42.353Z,2026-09-18T17:52:22.690Z,2680598280,2644459966,36138314,25.84672
46,2026-09-18T17:52:42.354Z,2026-09-18T17:53:53.630Z,2745239826,2706394426,38845400,26.172886
47,2026-09-18T17:53:53.650Z,2026-09-18T17:54:35.507Z,2824223080,2763461892,60761188,35.99769
48,2026-09-18T17:54:42.353Z,2026-09-18T17:55:26.600Z,2862491118,2825562078,36929040,23.318732
49,2026-09-18T17:55:42.353Z,2026-09-18T17:56:24.682Z,2929058298,2887658174,41400124,20.592715
50,2026-09-18T17:56:42.353Z,2026-09-18T17:57:24.336Z,2981870081,2949829262,32040819,19.318737
51,2026-09-18T17:57:42.353Z,2026-09-18T17:58:24.512Z,3048219807,3006881319,41338488,21.57875
52,2026-09-18T17:58:42.353Z,2026-09-18T17:59:26.223Z,3100004553,3068958233,31046320,20.390741
53,2026-09-18T17:59:42.353Z,2026-09-18T18:00:26.047Z,3164697827,3131065965,33631862,18.668743
54,2026-09-18T18:00:42.353Z,2026-09-18T18:01:26.819Z,3229421919,3187914249,41507670,21.221703
55,2026-09-18T18:01:42.353Z,2026-09-18T18:02:29.740Z,3287890019,3250208617,37681402,19.662723
56,2026-09-18T18:02:42.353Z,2026-09-18T18:03:28.077Z,3338149131,3312333803,25815328,16.308701
57,2026-09-18T18:03:42.353Z,2026-09-18T18:04:29.416Z,3405545401,3374441535,31103866,14.565725
58,2026-09-18T18:04:42.353Z,2026-09-18T18:05:30.231Z,3458476691,3431347365,27129326,16.504728
59,2026-09-18T18:05:42.353Z,2026-09-18T18:06:30.281Z,3524478145,3493455097,31023048,14.293728
60,2026-09-18T18:06:42.353Z,2026-09-18T18:07:33.909Z,3581526429,3550299291,31227138,14.297766
61,2026-09-18T18:07:42.353Z,2026-09-18T18:08:23.314Z,3644238251,3612586113,31652138,14.223717
62,2026-09-18T18:08:42.353Z,2026-09-18T18:09:23.200Z,3710886249,3674588027,36298222,15.07772
63,2026-09-18T18:09:42.353Z,2026-09-18T18:10:28.501Z,3762673030,3736826884,25846146,13.06573
64,2026-09-18T18:10:42.353Z,2026-09-18T18:11:23.554Z,3830069300,3799003798,31065502,7.455734
65,2026-09-18T18:11:42.353Z,2026-09-18T18:12:24.738Z,3881904046,3799003798,82900248,67.45573
66,2026-09-18T18:12:42.353Z,2026-09-18T18:13:25.952Z,3945962412,3918178996,27783416,3.635721
67,2026-09-18T18:13:42.353Z,2026-09-18T18:14:25.935Z,4000942608,3918178996,82763612,63.635711
68,2026-09-18T18:14:42.353Z,2026-09-18T18:15:26.539Z,4068158060,4037254194,30903866,4.970715
69,2026-09-18T18:15:42.353Z,2026-09-18T18:16:27.790Z,4119992806,4037254194,82738612,64.970722
70,2026-09-18T18:16:42.353Z,2026-09-18T18:17:27.143Z,4187344894,4156298574,31046320,8.282731
71,2026-09-18T18:17:42.353Z,2026-09-18T18:18:27.686Z,4239168004,4223619844,15548160,5.220749
72,2026-09-18T18:18:42.353Z,2026-09-18T18:19:28.520Z,4303151370,4280575674,22575696,5.814728
73,2026-09-18T18:19:42.353Z,2026-09-18T18:20:28.767Z,4368454552,4342633406,25821146,7.273707
74,2026-09-18T18:20:42.353Z,2026-09-18T18:21:29.059Z,4423786854,4404725790,19061064,0.330738
75,2026-09-18T18:21:42.354Z,2026-09-18T18:22:30.016Z,4488847582,4466783522,22064060,0.909747
76,2026-09-18T18:22:42.353Z,2026-09-18T18:23:22.596Z,4542146326,4466783522,75362804,60.908715
77,2026-09-18T18:23:42.353Z,2026-09-18T18:24:21.923Z,4607741962,4529033708,78708254,58.30476
78,2026-09-18T18:24:42.353Z,2026-09-18T18:25:24.975Z,4660605798,4529033708,131572090,118.30473
79,2026-09-18T18:25:42.353Z,2026-09-18T18:26:24.402Z,4725506935,4648008906,77498029,57.014757
80,2026-09-18T18:26:42.353Z,2026-09-18T18:27:23.836Z,4783655536,4648008906,135646630,117.014746
81,2026-09-18T18:27:42.353Z,2026-09-18T18:28:25.395Z,4840280548,4767484104,72796444,56.106743
82,2026-09-18T18:28:42.353Z,2026-09-18T18:29:24.357Z,4905085458,4767484104,137601354,116.106741
83,2026-09-18T18:29:42.353Z,2026-09-18T18:30:24.806Z,4967747280,4945577402,22169878,2.675717
84,2026-09-18T18:30:42.353Z,2026-09-18T18:31:27.173Z,5015788304,4945577402,70210902,62.675742
85,2026-09-18T18:31:42.353Z,2026-09-18T18:32:26.741Z,5075087403,5066820869,8266534,1.93772
86,2026-09-18T18:32:42.353Z,2026-09-18T18:33:26.411Z,5139630677,5066820869,72809808,61.93773
87,2026-09-18T18:33:42.353Z,2026-09-18T18:34:29.479Z,5202883225,5188269973,14613252,0.004709
88,2026-09-18T18:34:42.353Z,2026-09-18T18:35:27.102Z,5269115497,5188269973,80845524,60.004717
89,2026-09-18T18:35:42.353Z,2026-09-18T18:36:30.646Z,5325715509,5252986519,72728990,56.99775
90,2026-09-18T18:36:42.353Z,2026-09-18T18:37:30.525Z,5390514601,5317691429,72823172,51.086742
91,2026-09-18T18:37:42.353Z,2026-09-18T18:38:30.785Z,5447027977,5374385623,72642354,54.178715
