series,label,source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec
left,ClickHouse Cloud,2,2,2026-08-08T07:56:02Z,3742528876,1,Hourly OHLCV bars,0.865
left,ClickHouse Cloud,2,2,2026-08-08T07:56:02Z,3742528876,2,Risk & liquidity (B7),0.421
left,ClickHouse Cloud,3,3,2026-08-08T08:56:02Z,7149139248,1,Hourly OHLCV bars,0.557
left,ClickHouse Cloud,3,3,2026-08-08T08:56:02Z,7149139248,2,Risk & liquidity (B7),0.307
left,ClickHouse Cloud,4,4,2026-08-08T09:56:02Z,10451300014,1,Hourly OHLCV bars,0.589
left,ClickHouse Cloud,4,4,2026-08-08T09:56:02Z,10451300014,2,Risk & liquidity (B7),0.322
left,ClickHouse Cloud,5,5,2026-08-08T10:56:02Z,13693746344,1,Hourly OHLCV bars,0.935
left,ClickHouse Cloud,5,5,2026-08-08T10:56:02Z,13693746344,2,Risk & liquidity (B7),0.428
left,ClickHouse Cloud,6,6,2026-08-08T11:56:02Z,17207612605,1,Hourly OHLCV bars,0.508
left,ClickHouse Cloud,6,6,2026-08-08T11:56:02Z,17207612605,2,Risk & liquidity (B7),0.334
left,ClickHouse Cloud,7,7,2026-08-08T12:56:02Z,20600910656,1,Hourly OHLCV bars,0.898
left,ClickHouse Cloud,7,7,2026-08-08T12:56:02Z,20600910656,2,Risk & liquidity (B7),0.51
left,ClickHouse Cloud,8,8,2026-08-08T13:56:02Z,23847648964,1,Hourly OHLCV bars,0.831
left,ClickHouse Cloud,8,8,2026-08-08T13:56:02Z,23847648964,2,Risk & liquidity (B7),0.597
left,ClickHouse Cloud,9,9,2026-08-08T14:56:02Z,27120394813,1,Hourly OHLCV bars,0.723
left,ClickHouse Cloud,9,9,2026-08-08T14:56:02Z,27120394813,2,Risk & liquidity (B7),0.455
left,ClickHouse Cloud,10,10,2026-08-08T15:56:02Z,30468775164,1,Hourly OHLCV bars,0.782
left,ClickHouse Cloud,10,10,2026-08-08T15:56:02Z,30468775164,2,Risk & liquidity (B7),0.483
left,ClickHouse Cloud,11,11,2026-08-08T16:56:02Z,33749879001,1,Hourly OHLCV bars,0.587
left,ClickHouse Cloud,11,11,2026-08-08T16:56:02Z,33749879001,2,Risk & liquidity (B7),0.45
left,ClickHouse Cloud,12,12,2026-08-08T17:56:02Z,36853722010,1,Hourly OHLCV bars,1.08
left,ClickHouse Cloud,12,12,2026-08-08T17:56:02Z,36853722010,2,Risk & liquidity (B7),0.58
left,ClickHouse Cloud,13,13,2026-08-08T18:56:02Z,39940404643,1,Hourly OHLCV bars,0.728
left,ClickHouse Cloud,13,13,2026-08-08T18:56:02Z,39940404643,2,Risk & liquidity (B7),0.426
left,ClickHouse Cloud,14,14,2026-08-08T19:56:02Z,43039194322,1,Hourly OHLCV bars,0.927
left,ClickHouse Cloud,14,14,2026-08-08T19:56:02Z,43039194322,2,Risk & liquidity (B7),0.584
left,ClickHouse Cloud,15,15,2026-08-08T20:56:02Z,46111116140,1,Hourly OHLCV bars,0.829
left,ClickHouse Cloud,15,15,2026-08-08T20:56:02Z,46111116140,2,Risk & liquidity (B7),0.596
left,ClickHouse Cloud,16,16,2026-08-08T21:56:02Z,49175866023,1,Hourly OHLCV bars,0.878
left,ClickHouse Cloud,16,16,2026-08-08T21:56:02Z,49175866023,2,Risk & liquidity (B7),0.576
left,ClickHouse Cloud,17,17,2026-08-08T22:56:02Z,52443266481,1,Hourly OHLCV bars,0.657
left,ClickHouse Cloud,17,17,2026-08-08T22:56:02Z,52443266481,2,Risk & liquidity (B7),0.538
left,ClickHouse Cloud,18,18,2026-08-08T23:56:02Z,55419548257,1,Hourly OHLCV bars,0.692
left,ClickHouse Cloud,18,18,2026-08-08T23:56:02Z,55419548257,2,Risk & liquidity (B7),0.463
left,ClickHouse Cloud,19,19,2026-08-09T00:56:02Z,58512627462,1,Hourly OHLCV bars,0.854
left,ClickHouse Cloud,19,19,2026-08-09T00:56:02Z,58512627462,2,Risk & liquidity (B7),0.667
left,ClickHouse Cloud,20,20,2026-08-09T01:56:02Z,61372336571,1,Hourly OHLCV bars,0.9
left,ClickHouse Cloud,20,20,2026-08-09T01:56:02Z,61372336571,2,Risk & liquidity (B7),0.67
left,ClickHouse Cloud,21,21,2026-08-09T02:56:02Z,64300511639,1,Hourly OHLCV bars,0.749
left,ClickHouse Cloud,21,21,2026-08-09T02:56:02Z,64300511639,2,Risk & liquidity (B7),0.603
left,ClickHouse Cloud,22,22,2026-08-09T03:56:02Z,67296751626,1,Hourly OHLCV bars,0.74
left,ClickHouse Cloud,22,22,2026-08-09T03:56:02Z,67296751626,2,Risk & liquidity (B7),0.637
left,ClickHouse Cloud,23,23,2026-08-09T04:56:02Z,70171105615,1,Hourly OHLCV bars,1.133
left,ClickHouse Cloud,23,23,2026-08-09T04:56:02Z,70171105615,2,Risk & liquidity (B7),0.661
left,ClickHouse Cloud,24,24,2026-08-09T05:56:02Z,73014746623,1,Hourly OHLCV bars,0.796
left,ClickHouse Cloud,24,24,2026-08-09T05:56:02Z,73014746623,2,Risk & liquidity (B7),0.686
left,ClickHouse Cloud,25,25,2026-08-09T06:56:02Z,75968034150,1,Hourly OHLCV bars,0.809
left,ClickHouse Cloud,25,25,2026-08-09T06:56:02Z,75968034150,2,Risk & liquidity (B7),0.704
left,ClickHouse Cloud,26,26,2026-08-09T07:56:02Z,78744711237,1,Hourly OHLCV bars,0.871
left,ClickHouse Cloud,26,26,2026-08-09T07:56:02Z,78744711237,2,Risk & liquidity (B7),0.728
left,ClickHouse Cloud,27,27,2026-08-09T08:56:02Z,81363815092,1,Hourly OHLCV bars,0.772
left,ClickHouse Cloud,27,27,2026-08-09T08:56:02Z,81363815092,2,Risk & liquidity (B7),0.735
left,ClickHouse Cloud,28,28,2026-08-09T09:56:02Z,83951753947,1,Hourly OHLCV bars,1.039
left,ClickHouse Cloud,28,28,2026-08-09T09:56:02Z,83951753947,2,Risk & liquidity (B7),0.778
left,ClickHouse Cloud,29,29,2026-08-09T10:56:02Z,87063780214,1,Hourly OHLCV bars,1.18
left,ClickHouse Cloud,29,29,2026-08-09T10:56:02Z,87063780214,2,Risk & liquidity (B7),0.811
left,ClickHouse Cloud,30,30,2026-08-09T11:56:02Z,90313224986,1,Hourly OHLCV bars,0.81
left,ClickHouse Cloud,30,30,2026-08-09T11:56:02Z,90313224986,2,Risk & liquidity (B7),0.722
left,ClickHouse Cloud,31,31,2026-08-09T12:56:02Z,93296187953,1,Hourly OHLCV bars,1.012
left,ClickHouse Cloud,31,31,2026-08-09T12:56:02Z,93296187953,2,Risk & liquidity (B7),0.835
left,ClickHouse Cloud,32,32,2026-08-09T13:56:02Z,96365836441,1,Hourly OHLCV bars,0.834
left,ClickHouse Cloud,32,32,2026-08-09T13:56:02Z,96365836441,2,Risk & liquidity (B7),0.7
left,ClickHouse Cloud,33,33,2026-08-09T14:56:02Z,99569689379,1,Hourly OHLCV bars,0.978
left,ClickHouse Cloud,33,33,2026-08-09T14:56:02Z,99569689379,2,Risk & liquidity (B7),0.843
right,Databricks SQL,1,1,2026-09-18T17:07:31.592Z,48779388,1,Hourly OHLCV bars,2.829
right,Databricks SQL,1,1,2026-09-18T17:07:31.592Z,48779388,2,Risk & liquidity (B7),0.876
right,Databricks SQL,2,2,2026-09-18T18:07:31.592Z,3648905245,1,Hourly OHLCV bars,18.889
right,Databricks SQL,2,2,2026-09-18T18:07:31.592Z,3648905245,2,Risk & liquidity (B7),10.555
right,Databricks SQL,3,3,2026-09-18T19:07:31.592Z,7248888928,1,Hourly OHLCV bars,10.34
right,Databricks SQL,3,3,2026-09-18T19:07:31.592Z,7248888928,2,Risk & liquidity (B7),7.677
right,Databricks SQL,4,4,2026-09-18T20:07:31.592Z,10848950992,1,Hourly OHLCV bars,11.498
right,Databricks SQL,4,4,2026-09-18T20:07:31.592Z,10848950992,2,Risk & liquidity (B7),13.534
right,Databricks SQL,5,5,2026-09-18T21:07:31.592Z,14448885812,1,Hourly OHLCV bars,22.492
right,Databricks SQL,5,5,2026-09-18T21:07:31.592Z,14448885812,2,Risk & liquidity (B7),20.5
right,Databricks SQL,6,6,2026-09-18T22:07:31.592Z,18048883403,1,Hourly OHLCV bars,27.32
right,Databricks SQL,6,6,2026-09-18T22:07:31.592Z,18048883403,2,Risk & liquidity (B7),25.24
right,Databricks SQL,7,7,2026-09-18T23:07:31.592Z,21648927817,1,Hourly OHLCV bars,3.187
right,Databricks SQL,7,7,2026-09-18T23:07:31.592Z,21648927817,2,Risk & liquidity (B7),1.728
right,Databricks SQL,8,8,2026-09-19T00:07:31.592Z,25248924027,1,Hourly OHLCV bars,12.971
right,Databricks SQL,8,8,2026-09-19T00:07:31.592Z,25248924027,2,Risk & liquidity (B7),7.408
right,Databricks SQL,9,9,2026-09-19T01:07:31.592Z,28848912329,1,Hourly OHLCV bars,16.939
right,Databricks SQL,9,9,2026-09-19T01:07:31.592Z,28848912329,2,Risk & liquidity (B7),12.934
right,Databricks SQL,10,10,2026-09-19T02:07:31.592Z,32448900387,1,Hourly OHLCV bars,21.737
right,Databricks SQL,10,10,2026-09-19T02:07:31.592Z,32448900387,2,Risk & liquidity (B7),24.717
right,Databricks SQL,11,11,2026-09-19T03:07:31.592Z,36048779409,1,Hourly OHLCV bars,31.688
right,Databricks SQL,11,11,2026-09-19T03:07:31.592Z,36048779409,2,Risk & liquidity (B7),27.149
right,Databricks SQL,12,12,2026-09-19T04:07:31.592Z,39648841503,1,Hourly OHLCV bars,4.144
right,Databricks SQL,12,12,2026-09-19T04:07:31.592Z,39648841503,2,Risk & liquidity (B7),2.686
right,Databricks SQL,13,13,2026-09-19T05:07:31.592Z,43248955264,1,Hourly OHLCV bars,14.769
right,Databricks SQL,13,13,2026-09-19T05:07:31.592Z,43248955264,2,Risk & liquidity (B7),8.684
right,Databricks SQL,14,14,2026-09-19T06:07:31.592Z,46848958026,1,Hourly OHLCV bars,17.455
right,Databricks SQL,14,14,2026-09-19T06:07:31.592Z,46848958026,2,Risk & liquidity (B7),13.109
right,Databricks SQL,15,15,2026-09-19T07:07:31.592Z,50448920743,1,Hourly OHLCV bars,20.88
right,Databricks SQL,15,15,2026-09-19T07:07:31.592Z,50448920743,2,Risk & liquidity (B7),24.32
right,Databricks SQL,16,16,2026-09-19T08:07:31.592Z,54048818880,1,Hourly OHLCV bars,28.953
right,Databricks SQL,16,16,2026-09-19T08:07:31.592Z,54048818880,2,Risk & liquidity (B7),27.825
right,Databricks SQL,17,17,2026-09-19T09:07:31.592Z,57648913051,1,Hourly OHLCV bars,10.2
right,Databricks SQL,17,17,2026-09-19T09:07:31.592Z,57648913051,2,Risk & liquidity (B7),4.505
right,Databricks SQL,18,18,2026-09-19T10:07:31.592Z,61248785899,1,Hourly OHLCV bars,14.047
right,Databricks SQL,18,18,2026-09-19T10:07:31.592Z,61248785899,2,Risk & liquidity (B7),11.465
right,Databricks SQL,19,19,2026-09-19T11:07:31.592Z,64848931181,1,Hourly OHLCV bars,21.807
right,Databricks SQL,19,19,2026-09-19T11:07:31.592Z,64848931181,2,Risk & liquidity (B7),18.677
right,Databricks SQL,20,20,2026-09-19T12:07:31.592Z,68448901225,1,Hourly OHLCV bars,23.502
right,Databricks SQL,20,20,2026-09-19T12:07:31.592Z,68448901225,2,Risk & liquidity (B7),32.269
right,Databricks SQL,21,21,2026-09-19T13:07:31.592Z,72048872763,1,Hourly OHLCV bars,30.792
right,Databricks SQL,21,21,2026-09-19T13:07:31.592Z,72048872763,2,Risk & liquidity (B7),29.624
right,Databricks SQL,22,22,2026-09-19T14:07:31.592Z,75648919105,1,Hourly OHLCV bars,9.083
right,Databricks SQL,22,22,2026-09-19T14:07:31.592Z,75648919105,2,Risk & liquidity (B7),4.703
right,Databricks SQL,23,23,2026-09-19T15:07:31.592Z,79248916498,1,Hourly OHLCV bars,15.552
right,Databricks SQL,23,23,2026-09-19T15:07:31.592Z,79248916498,2,Risk & liquidity (B7),11.798
right,Databricks SQL,24,24,2026-09-19T16:07:31.592Z,82848735814,1,Hourly OHLCV bars,19.303
right,Databricks SQL,24,24,2026-09-19T16:07:31.592Z,82848735814,2,Risk & liquidity (B7),18.438
right,Databricks SQL,25,25,2026-09-19T17:07:31.592Z,86448786434,1,Hourly OHLCV bars,56.901
right,Databricks SQL,25,25,2026-09-19T17:07:31.592Z,86448786434,2,Risk & liquidity (B7),39.814
right,Databricks SQL,26,26,2026-09-19T18:07:31.592Z,90048750546,1,Hourly OHLCV bars,33.798
right,Databricks SQL,26,26,2026-09-19T18:07:31.592Z,90048750546,2,Risk & liquidity (B7),42.73
right,Databricks SQL,27,27,2026-09-19T19:07:31.592Z,93648850827,1,Hourly OHLCV bars,12.764
right,Databricks SQL,27,27,2026-09-19T19:07:31.592Z,93648850827,2,Risk & liquidity (B7),7.898
right,Databricks SQL,28,28,2026-09-19T20:07:31.592Z,97248769382,1,Hourly OHLCV bars,16.425
right,Databricks SQL,28,28,2026-09-19T20:07:31.592Z,97248769382,2,Risk & liquidity (B7),12.731
