system,workload,iteration,raw_rows,query,seconds,source,phase
databricks,dashboard,1,48991024,1,2.31,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,1,48991024,2,0.843,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,1,48991024,3,0.445,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,1,48991024,4,0.441,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,2,649003190,1,0.994,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,2,649003190,2,0.375,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,2,649003190,3,0.531,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,2,649003190,4,1.414,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,3,1249020088,1,1.148,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,3,1249020088,2,0.387,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,3,1249020088,3,0.356,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,3,1249020088,4,0.372,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,4,1848994361,1,1.366,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,4,1848994361,2,0.345,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,4,1848994361,3,0.322,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,4,1848994361,4,0.79,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,5,2448987056,1,1.709,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,5,2448987056,2,0.354,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,5,2448987056,3,0.568,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,5,2448987056,4,0.833,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,6,3049016351,1,1.021,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,6,3049016351,2,0.373,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,6,3049016351,3,0.346,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,6,3049016351,4,1.131,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,7,3648905245,1,1.204,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,7,3648905245,2,0.354,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,7,3648905245,3,0.335,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,7,3648905245,4,0.62,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,8,4248886900,1,1.1,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,8,4248886900,2,1.119,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
