provider,label,source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec,runtime_source,included_in_plot
clickhouse,ClickHouse Cloud,2,2,2026-08-08T07:05:59Z,724786266,1,Single-symbol summary,0.006,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,3,3,2026-08-08T07:15:59Z,1370669828,1,Single-symbol summary,0.041,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,4,4,2026-08-08T07:25:59Z,1975682003,1,Single-symbol summary,0.006,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,5,5,2026-08-08T07:35:59Z,2574084882,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,6,6,2026-08-08T07:45:59Z,3146910669,1,Single-symbol summary,0.012,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,7,7,2026-08-08T07:55:59Z,3738865972,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,8,8,2026-08-08T08:05:59Z,4293755746,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,9,9,2026-08-08T08:15:59Z,4891042750,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,10,10,2026-08-08T08:25:59Z,5469535309,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,11,11,2026-08-08T08:35:59Z,6010532017,1,Single-symbol summary,0.006,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,12,12,2026-08-08T08:45:59Z,6539371357,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,13,13,2026-08-08T08:55:59Z,7146131616,1,Single-symbol summary,0.006,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,14,14,2026-08-08T09:05:59Z,7727462172,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,15,15,2026-08-08T09:15:59Z,8305203448,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,16,16,2026-08-08T09:25:59Z,8807164173,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,17,17,2026-08-08T09:35:59Z,9395201523,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,18,18,2026-08-08T09:45:59Z,9911918805,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,19,19,2026-08-08T09:55:59Z,10448957290,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,20,20,2026-08-08T10:05:59Z,10999409964,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,21,21,2026-08-08T10:15:59Z,11495758638,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,22,22,2026-08-08T10:25:59Z,12058435469,1,Single-symbol summary,0.012,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,23,23,2026-08-08T10:35:59Z,12574526062,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,24,24,2026-08-08T10:45:59Z,13130688854,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,25,25,2026-08-08T10:55:59Z,13690901348,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,26,26,2026-08-08T11:05:59Z,14280804947,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,27,27,2026-08-08T11:15:59Z,14876856126,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,28,28,2026-08-08T11:25:59Z,15470256866,1,Single-symbol summary,0.087,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,29,29,2026-08-08T11:35:59Z,16058779354,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,30,30,2026-08-08T11:45:59Z,16604006353,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,31,31,2026-08-08T11:55:59Z,17204550973,1,Single-symbol summary,0.006,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,32,32,2026-08-08T12:05:59Z,17758468213,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,33,33,2026-08-08T12:15:59Z,18360002425,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,34,34,2026-08-08T12:25:59Z,18930505218,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,35,35,2026-08-08T12:35:59Z,19498533079,1,Single-symbol summary,0.012,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,36,36,2026-08-08T12:45:59Z,20030972521,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,37,37,2026-08-08T12:55:59Z,20598954386,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,38,38,2026-08-08T13:05:59Z,21177624388,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,39,39,2026-08-08T13:15:59Z,21690449123,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,40,40,2026-08-08T13:25:59Z,22225814642,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,41,41,2026-08-08T13:35:59Z,22769842666,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,42,42,2026-08-08T13:45:59Z,23288685490,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,43,43,2026-08-08T13:55:59Z,23844225514,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,44,44,2026-08-08T14:05:59Z,24360433073,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,45,45,2026-08-08T14:15:59Z,24937313823,1,Single-symbol summary,0.012,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,46,46,2026-08-08T14:25:59Z,25492435118,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,47,47,2026-08-08T14:35:59Z,26047358918,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,48,48,2026-08-08T14:45:59Z,26583320264,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,49,49,2026-08-08T14:55:59Z,27117466999,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,50,50,2026-08-08T15:05:59Z,27681375912,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,51,51,2026-08-08T15:15:59Z,28239125449,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,52,52,2026-08-08T15:25:59Z,28773516979,1,Single-symbol summary,0.111,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,53,53,2026-08-08T15:35:59Z,29346127706,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,54,54,2026-08-08T15:45:59Z,29890137150,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,55,55,2026-08-08T15:55:59Z,30465667350,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,56,56,2026-08-08T16:05:59Z,31018228497,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,57,57,2026-08-08T16:15:59Z,31588088259,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,58,58,2026-08-08T16:25:59Z,32144496083,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,59,59,2026-08-08T16:35:59Z,32651953244,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,60,60,2026-08-08T16:45:59Z,33183996050,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,61,61,2026-08-08T16:55:59Z,33748476003,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,62,62,2026-08-08T17:05:59Z,34249264401,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,63,63,2026-08-08T17:15:59Z,34764613132,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,64,64,2026-08-08T17:25:59Z,35300178406,1,Single-symbol summary,0.012,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,65,65,2026-08-08T17:35:59Z,35804053385,1,Single-symbol summary,0.009,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,66,66,2026-08-08T17:45:59Z,36352821706,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,67,67,2026-08-08T17:55:59Z,36850964650,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,68,68,2026-08-08T18:05:59Z,37331880801,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,69,69,2026-08-08T18:15:59Z,37851506740,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,70,70,2026-08-08T18:25:59Z,38333894855,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,71,71,2026-08-08T18:35:59Z,38903981063,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,72,72,2026-08-08T18:45:59Z,39403630784,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,73,73,2026-08-08T18:55:59Z,39938729827,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,74,74,2026-08-08T19:05:59Z,40455322866,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,75,75,2026-08-08T19:15:59Z,40983472025,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,76,76,2026-08-08T19:25:59Z,41461994932,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,77,77,2026-08-08T19:35:59Z,41986954384,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,78,78,2026-08-08T19:45:59Z,42504704257,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,79,79,2026-08-08T19:55:59Z,43037353870,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,80,80,2026-08-08T20:05:59Z,43568180819,1,Single-symbol summary,0.015,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,81,81,2026-08-08T20:15:59Z,44075896295,1,Single-symbol summary,0.008,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,82,82,2026-08-08T20:25:59Z,44585275116,1,Single-symbol summary,0.015,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,83,83,2026-08-08T20:35:59Z,45119401562,1,Single-symbol summary,0.017,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,84,84,2026-08-08T20:45:59Z,45608868518,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,85,85,2026-08-08T20:55:59Z,46108257326,1,Single-symbol summary,0.007,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,86,86,2026-08-08T21:05:59Z,46607144697,1,Single-symbol summary,0.009,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,87,87,2026-08-08T21:15:59Z,47127220430,1,Single-symbol summary,0.013,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,88,88,2026-08-08T21:25:59Z,47630286458,1,Single-symbol summary,0.014,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,89,89,2026-08-08T21:35:59Z,48152769396,1,Single-symbol summary,0.015,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,90,90,2026-08-08T21:45:59Z,48651039753,1,Single-symbol summary,0.017,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,91,91,2026-08-08T21:55:59Z,49173608481,1,Single-symbol summary,0.014,clickhouse-client --time,True
