task_type,object_type,object_ids,status,event,event_time,task_details
VacuumSort,table,229992,,Queued,2026-08-13 03:18:37.107793,
VacuumSort,table,230000,,Queued,2026-08-13 03:18:37.108857,
VacuumSort,table,229992,,Started,2026-08-13 03:18:37.168666,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:18:37.176374,
VacuumSort,table,230000,,Started,2026-08-13 03:18:37.176442,
VacuumSort,table,229992,,Queued,2026-08-13 03:23:38.061799,
VacuumSort,table,229992,,Started,2026-08-13 03:23:38.067678,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:23:38.085557,
VacuumSort,table,230000,Task completed successfully,Completed,2026-08-13 03:25:31.964824,
VacuumSort,table,229992,,Queued,2026-08-13 03:25:47.207116,
VacuumSort,table,229992,,Started,2026-08-13 03:25:47.338521,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:25:47.346196,
VacuumSort,table,229992,,Queued,2026-08-13 03:28:39.005272,
VacuumSort,table,229992,,Started,2026-08-13 03:28:39.211478,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:28:39.218890,
VacuumSort,table,229992,,Queued,2026-08-13 03:30:48.186572,
VacuumSort,table,229992,,Started,2026-08-13 03:30:48.793216,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:30:48.800671,
VacuumSort,table,229992,,Queued,2026-08-13 03:33:40.088677,
VacuumSort,table,229992,,Started,2026-08-13 03:33:40.494956,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:33:40.502416,
VacuumSort,table,229992,,Queued,2026-08-13 03:35:49.054663,
VacuumSort,table,229992,,Started,2026-08-13 03:35:49.060585,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:35:49.068186,
VacuumSort,table,229992,,Queued,2026-08-13 03:38:41.130300,
VacuumSort,table,229992,,Started,2026-08-13 03:38:41.136177,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:38:41.144062,
VacuumSort,table,229992,,Queued,2026-08-13 03:40:50.099915,
VacuumSort,table,229992,,Started,2026-08-13 03:40:51.713303,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:40:51.717746,
VacuumSort,table,229992,,Queued,2026-08-13 03:43:42.162590,
VacuumSort,table,229992,,Started,2026-08-13 03:43:42.168398,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:43:42.176163,
VacuumSort,table,229992,,Queued,2026-08-13 03:45:52.130845,
VacuumSort,table,229992,,Started,2026-08-13 03:45:52.737260,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:45:52.744963,
VacuumSort,table,229992,,Queued,2026-08-13 03:48:43.032674,
VacuumSort,table,229992,,Started,2026-08-13 03:48:43.038483,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:48:43.046363,
VacuumSort,table,229992,,Queued,2026-08-13 03:50:53.074228,
VacuumSort,table,229992,,Started,2026-08-13 03:50:53.080015,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:50:53.087767,
VacuumSort,table,229992,,Queued,2026-08-13 03:53:44.154706,
VacuumSort,table,229992,,Started,2026-08-13 03:53:44.160495,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:53:44.168309,
VacuumSort,table,229992,,Queued,2026-08-13 03:55:54.123549,
VacuumSort,table,229992,,Started,2026-08-13 03:55:54.129478,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:55:54.137323,
VacuumSort,table,229992,,Queued,2026-08-13 03:58:45.036315,
VacuumSort,table,229992,,Started,2026-08-13 03:58:45.042035,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 03:58:45.049991,
VacuumSort,table,229992,,Queued,2026-08-13 04:00:55.018537,
VacuumSort,table,229992,,Started,2026-08-13 04:00:56.225577,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:00:56.233151,
VacuumSort,table,229992,,Queued,2026-08-13 04:03:46.102796,
VacuumSort,table,229992,,Started,2026-08-13 04:03:47.109494,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:03:47.117001,
VacuumSort,table,229992,,Queued,2026-08-13 04:05:57.072012,
VacuumSort,table,229992,,Started,2026-08-13 04:05:57.077682,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:05:57.085665,
VacuumSort,table,229992,,Queued,2026-08-13 04:08:48.007237,
VacuumSort,table,229992,,Started,2026-08-13 04:08:48.213308,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:08:48.220964,
VacuumSort,table,229992,,Queued,2026-08-13 04:10:58.194281,
VacuumSort,table,229992,,Started,2026-08-13 04:10:58.199913,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:10:58.207503,
VacuumSort,table,229992,,Queued,2026-08-13 04:13:49.096370,
VacuumSort,table,229992,,Started,2026-08-13 04:13:49.102208,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:13:49.110093,
VacuumSort,table,229992,,Queued,2026-08-13 04:15:59.058295,
VacuumSort,table,229992,,Started,2026-08-13 04:16:02.071056,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:16:02.078968,
VacuumSort,table,229992,,Queued,2026-08-13 04:18:50.157968,
VacuumSort,table,229992,,Started,2026-08-13 04:18:50.163887,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:18:50.171763,
VacuumSort,table,229992,,Queued,2026-08-13 04:21:03.138025,
VacuumSort,table,229992,,Started,2026-08-13 04:21:05.150067,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:21:05.157682,
VacuumSort,table,229992,,Queued,2026-08-13 04:23:51.029627,
VacuumSort,table,229992,,Started,2026-08-13 04:23:51.235582,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:23:51.243284,
VacuumSort,table,229992,,Queued,2026-08-13 04:26:06.017441,
VacuumSort,table,229992,,Started,2026-08-13 04:26:07.825470,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:26:07.833330,
VacuumSort,table,229992,,Queued,2026-08-13 04:28:52.094958,
VacuumSort,table,229992,,Started,2026-08-13 04:28:52.521116,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:28:52.526150,
VacuumSort,table,229992,,Queued,2026-08-13 04:31:08.066130,
VacuumSort,table,229992,,Started,2026-08-13 04:31:08.072006,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:31:08.079809,
VacuumSort,table,229992,,Queued,2026-08-13 04:33:53.109554,
VacuumSort,table,229992,,Started,2026-08-13 04:33:54.917052,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 04:33:54.924868,
VacuumSort,table,229992,,Queued,2026-08-13 04:36:09.080635,
VacuumSort,table,229992,,Started,2026-08-13 04:36:09.227134,
VacuumSort,table,229992,,Queued,2026-08-13 04:38:55.143445,
VacuumSort,table,229992,,Started,2026-08-13 04:38:55.149338,
VacuumSort,table,229992,Task suspended due to internal error,Suspended,2026-08-13 04:38:55.152529,
VacuumSort,table,229992,,Queued,2026-08-13 04:43:56.123790,
VacuumSort,table,229992,,Started,2026-08-13 04:43:59.974302,
VacuumSort,table,229992,Task suspended due to internal error,Suspended,2026-08-13 04:43:59.974423,
VacuumSort,table,229992,,Queued,2026-08-13 04:49:00.097980,
VacuumSort,table,229992,,Started,2026-08-13 04:49:00.139241,
VacuumSort,table,229992,Task suspended due to internal error,Suspended,2026-08-13 04:49:00.139363,
VacuumSort,table,229992,Task completed successfully,Completed,2026-08-13 04:49:13.248025,
VacuumSort,table,229992,,Queued,2026-08-13 04:54:01.131141,
VacuumSort,table,229992,,Started,2026-08-13 04:54:02.408533,
VacuumSort,table,229992,Task failed due to internal error,Failed,2026-08-13 04:54:02.411048,
VacuumSort,table,230000,,Queued,2026-08-13 04:56:17.210295,
VacuumSort,table,230000,,Started,2026-08-13 04:56:20.130060,
VacuumSort,table,230000,Task failed due to internal error,Failed,2026-08-13 04:56:20.135338,
VacuumSort,table,229992,,Queued,2026-08-13 15:20:27.231114,
VacuumSort,table,229992,,Started,2026-08-13 15:20:28.882771,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 15:20:28.890530,
VacuumSort,table,229992,,Queued,2026-08-13 15:25:29.107907,
VacuumSort,table,229992,,Started,2026-08-13 15:25:30.115195,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 15:25:30.122995,
VacuumSort,table,229992,,Queued,2026-08-13 15:26:27.332182,
VacuumSort,table,229992,,Started,2026-08-13 15:26:27.485196,
VacuumSort,table,229992,Task failed due to internal error,Suspended,2026-08-13 15:26:27.492873,
VacuumSort,table,229992,,Queued,2026-08-13 15:30:31.172881,
VacuumSort,table,229992,,Started,2026-08-13 15:30:31.243383,
VacuumSort,table,229992,,Queued,2026-08-13 15:31:28.127235,
VacuumSort,table,229992,,Started,2026-08-13 15:31:28.133359,
VacuumSort,table,229992,Task suspended due to internal error,Suspended,2026-08-13 15:31:28.136501,
VacuumSort,table,229992,,Queued,2026-08-13 15:36:29.123558,
VacuumSort,table,229992,,Started,2026-08-13 15:36:29.133144,
VacuumSort,table,229992,Task suspended due to internal error,Suspended,2026-08-13 15:36:29.133216,
VacuumSort,table,229992,,Queued,2026-08-13 15:41:30.129880,
