series,label,source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec
left,ClickHouse Cloud,2,2,2026-08-08T07:05:59Z,724786266,1,Single-symbol summary,0.006
left,ClickHouse Cloud,2,2,2026-08-08T07:05:59Z,724786266,2,Watchlist summary,0.005
left,ClickHouse Cloud,2,2,2026-08-08T07:05:59Z,724786266,3,Top movers,0.006
left,ClickHouse Cloud,2,2,2026-08-08T07:05:59Z,724786266,4,Daily activity,0.006
left,ClickHouse Cloud,3,3,2026-08-08T07:15:59Z,1370669828,1,Single-symbol summary,0.041
left,ClickHouse Cloud,3,3,2026-08-08T07:15:59Z,1370669828,2,Watchlist summary,0.007
left,ClickHouse Cloud,3,3,2026-08-08T07:15:59Z,1370669828,3,Top movers,0.009
left,ClickHouse Cloud,3,3,2026-08-08T07:15:59Z,1370669828,4,Daily activity,0.006
left,ClickHouse Cloud,4,4,2026-08-08T07:25:59Z,1975682003,1,Single-symbol summary,0.006
left,ClickHouse Cloud,4,4,2026-08-08T07:25:59Z,1975682003,2,Watchlist summary,0.033
left,ClickHouse Cloud,4,4,2026-08-08T07:25:59Z,1975682003,3,Top movers,0.045
left,ClickHouse Cloud,4,4,2026-08-08T07:25:59Z,1975682003,4,Daily activity,0.025
left,ClickHouse Cloud,5,5,2026-08-08T07:35:59Z,2574084882,1,Single-symbol summary,0.007
left,ClickHouse Cloud,5,5,2026-08-08T07:35:59Z,2574084882,2,Watchlist summary,0.01
left,ClickHouse Cloud,5,5,2026-08-08T07:35:59Z,2574084882,3,Top movers,0.011
left,ClickHouse Cloud,5,5,2026-08-08T07:35:59Z,2574084882,4,Daily activity,0.008
left,ClickHouse Cloud,6,6,2026-08-08T07:45:59Z,3146910669,1,Single-symbol summary,0.012
left,ClickHouse Cloud,6,6,2026-08-08T07:45:59Z,3146910669,2,Watchlist summary,0.01
left,ClickHouse Cloud,6,6,2026-08-08T07:45:59Z,3146910669,3,Top movers,0.011
left,ClickHouse Cloud,6,6,2026-08-08T07:45:59Z,3146910669,4,Daily activity,0.008
left,ClickHouse Cloud,7,7,2026-08-08T07:55:59Z,3738865972,1,Single-symbol summary,0.014
left,ClickHouse Cloud,7,7,2026-08-08T07:55:59Z,3738865972,2,Watchlist summary,0.009
left,ClickHouse Cloud,7,7,2026-08-08T07:55:59Z,3738865972,3,Top movers,0.012
left,ClickHouse Cloud,7,7,2026-08-08T07:55:59Z,3738865972,4,Daily activity,0.01
left,ClickHouse Cloud,8,8,2026-08-08T08:05:59Z,4293755746,1,Single-symbol summary,0.013
left,ClickHouse Cloud,8,8,2026-08-08T08:05:59Z,4293755746,2,Watchlist summary,0.01
left,ClickHouse Cloud,8,8,2026-08-08T08:05:59Z,4293755746,3,Top movers,0.012
left,ClickHouse Cloud,8,8,2026-08-08T08:05:59Z,4293755746,4,Daily activity,0.009
left,ClickHouse Cloud,9,9,2026-08-08T08:15:59Z,4891042750,1,Single-symbol summary,0.007
left,ClickHouse Cloud,9,9,2026-08-08T08:15:59Z,4891042750,2,Watchlist summary,0.008
left,ClickHouse Cloud,9,9,2026-08-08T08:15:59Z,4891042750,3,Top movers,0.013
left,ClickHouse Cloud,9,9,2026-08-08T08:15:59Z,4891042750,4,Daily activity,0.01
left,ClickHouse Cloud,10,10,2026-08-08T08:25:59Z,5469535309,1,Single-symbol summary,0.013
left,ClickHouse Cloud,10,10,2026-08-08T08:25:59Z,5469535309,2,Watchlist summary,0.017
left,ClickHouse Cloud,10,10,2026-08-08T08:25:59Z,5469535309,3,Top movers,0.014
left,ClickHouse Cloud,10,10,2026-08-08T08:25:59Z,5469535309,4,Daily activity,0.011
left,ClickHouse Cloud,11,11,2026-08-08T08:35:59Z,6010532017,1,Single-symbol summary,0.006
left,ClickHouse Cloud,11,11,2026-08-08T08:35:59Z,6010532017,2,Watchlist summary,0.009
left,ClickHouse Cloud,11,11,2026-08-08T08:35:59Z,6010532017,3,Top movers,0.013
left,ClickHouse Cloud,11,11,2026-08-08T08:35:59Z,6010532017,4,Daily activity,0.011
left,ClickHouse Cloud,12,12,2026-08-08T08:45:59Z,6539371357,1,Single-symbol summary,0.014
left,ClickHouse Cloud,12,12,2026-08-08T08:45:59Z,6539371357,2,Watchlist summary,0.01
left,ClickHouse Cloud,12,12,2026-08-08T08:45:59Z,6539371357,3,Top movers,0.012
left,ClickHouse Cloud,12,12,2026-08-08T08:45:59Z,6539371357,4,Daily activity,0.01
left,ClickHouse Cloud,13,13,2026-08-08T08:55:59Z,7146131616,1,Single-symbol summary,0.006
left,ClickHouse Cloud,13,13,2026-08-08T08:55:59Z,7146131616,2,Watchlist summary,0.009
left,ClickHouse Cloud,13,13,2026-08-08T08:55:59Z,7146131616,3,Top movers,0.011
left,ClickHouse Cloud,13,13,2026-08-08T08:55:59Z,7146131616,4,Daily activity,0.01
left,ClickHouse Cloud,14,14,2026-08-08T09:05:59Z,7727462172,1,Single-symbol summary,0.007
left,ClickHouse Cloud,14,14,2026-08-08T09:05:59Z,7727462172,2,Watchlist summary,0.009
left,ClickHouse Cloud,14,14,2026-08-08T09:05:59Z,7727462172,3,Top movers,0.013
left,ClickHouse Cloud,14,14,2026-08-08T09:05:59Z,7727462172,4,Daily activity,0.01
left,ClickHouse Cloud,15,15,2026-08-08T09:15:59Z,8305203448,1,Single-symbol summary,0.007
left,ClickHouse Cloud,15,15,2026-08-08T09:15:59Z,8305203448,2,Watchlist summary,0.013
left,ClickHouse Cloud,15,15,2026-08-08T09:15:59Z,8305203448,3,Top movers,0.012
left,ClickHouse Cloud,15,15,2026-08-08T09:15:59Z,8305203448,4,Daily activity,0.011
left,ClickHouse Cloud,16,16,2026-08-08T09:25:59Z,8807164173,1,Single-symbol summary,0.013
left,ClickHouse Cloud,16,16,2026-08-08T09:25:59Z,8807164173,2,Watchlist summary,0.017
left,ClickHouse Cloud,16,16,2026-08-08T09:25:59Z,8807164173,3,Top movers,0.012
left,ClickHouse Cloud,16,16,2026-08-08T09:25:59Z,8807164173,4,Daily activity,0.01
left,ClickHouse Cloud,17,17,2026-08-08T09:35:59Z,9395201523,1,Single-symbol summary,0.007
left,ClickHouse Cloud,17,17,2026-08-08T09:35:59Z,9395201523,2,Watchlist summary,0.011
left,ClickHouse Cloud,17,17,2026-08-08T09:35:59Z,9395201523,3,Top movers,0.013
left,ClickHouse Cloud,17,17,2026-08-08T09:35:59Z,9395201523,4,Daily activity,0.011
left,ClickHouse Cloud,18,18,2026-08-08T09:45:59Z,9911918805,1,Single-symbol summary,0.007
left,ClickHouse Cloud,18,18,2026-08-08T09:45:59Z,9911918805,2,Watchlist summary,0.01
left,ClickHouse Cloud,18,18,2026-08-08T09:45:59Z,9911918805,3,Top movers,0.012
left,ClickHouse Cloud,18,18,2026-08-08T09:45:59Z,9911918805,4,Daily activity,0.011
left,ClickHouse Cloud,19,19,2026-08-08T09:55:59Z,10448957290,1,Single-symbol summary,0.007
left,ClickHouse Cloud,19,19,2026-08-08T09:55:59Z,10448957290,2,Watchlist summary,0.011
left,ClickHouse Cloud,19,19,2026-08-08T09:55:59Z,10448957290,3,Top movers,0.013
left,ClickHouse Cloud,19,19,2026-08-08T09:55:59Z,10448957290,4,Daily activity,0.011
left,ClickHouse Cloud,20,20,2026-08-08T10:05:59Z,10999409964,1,Single-symbol summary,0.007
left,ClickHouse Cloud,20,20,2026-08-08T10:05:59Z,10999409964,2,Watchlist summary,0.011
left,ClickHouse Cloud,20,20,2026-08-08T10:05:59Z,10999409964,3,Top movers,0.013
left,ClickHouse Cloud,20,20,2026-08-08T10:05:59Z,10999409964,4,Daily activity,0.01
left,ClickHouse Cloud,21,21,2026-08-08T10:15:59Z,11495758638,1,Single-symbol summary,0.007
left,ClickHouse Cloud,21,21,2026-08-08T10:15:59Z,11495758638,2,Watchlist summary,0.015
left,ClickHouse Cloud,21,21,2026-08-08T10:15:59Z,11495758638,3,Top movers,0.011
left,ClickHouse Cloud,21,21,2026-08-08T10:15:59Z,11495758638,4,Daily activity,0.011
left,ClickHouse Cloud,22,22,2026-08-08T10:25:59Z,12058435469,1,Single-symbol summary,0.012
left,ClickHouse Cloud,22,22,2026-08-08T10:25:59Z,12058435469,2,Watchlist summary,0.01
left,ClickHouse Cloud,22,22,2026-08-08T10:25:59Z,12058435469,3,Top movers,0.012
left,ClickHouse Cloud,22,22,2026-08-08T10:25:59Z,12058435469,4,Daily activity,0.01
left,ClickHouse Cloud,23,23,2026-08-08T10:35:59Z,12574526062,1,Single-symbol summary,0.013
left,ClickHouse Cloud,23,23,2026-08-08T10:35:59Z,12574526062,2,Watchlist summary,0.01
left,ClickHouse Cloud,23,23,2026-08-08T10:35:59Z,12574526062,3,Top movers,0.013
left,ClickHouse Cloud,23,23,2026-08-08T10:35:59Z,12574526062,4,Daily activity,0.011
left,ClickHouse Cloud,24,24,2026-08-08T10:45:59Z,13130688854,1,Single-symbol summary,0.013
left,ClickHouse Cloud,24,24,2026-08-08T10:45:59Z,13130688854,2,Watchlist summary,0.015
left,ClickHouse Cloud,24,24,2026-08-08T10:45:59Z,13130688854,3,Top movers,0.013
left,ClickHouse Cloud,24,24,2026-08-08T10:45:59Z,13130688854,4,Daily activity,0.011
left,ClickHouse Cloud,25,25,2026-08-08T10:55:59Z,13690901348,1,Single-symbol summary,0.014
left,ClickHouse Cloud,25,25,2026-08-08T10:55:59Z,13690901348,2,Watchlist summary,0.016
left,ClickHouse Cloud,25,25,2026-08-08T10:55:59Z,13690901348,3,Top movers,0.014
left,ClickHouse Cloud,25,25,2026-08-08T10:55:59Z,13690901348,4,Daily activity,0.011
left,ClickHouse Cloud,26,26,2026-08-08T11:05:59Z,14280804947,1,Single-symbol summary,0.013
left,ClickHouse Cloud,26,26,2026-08-08T11:05:59Z,14280804947,2,Watchlist summary,0.016
left,ClickHouse Cloud,26,26,2026-08-08T11:05:59Z,14280804947,3,Top movers,0.014
left,ClickHouse Cloud,26,26,2026-08-08T11:05:59Z,14280804947,4,Daily activity,0.012
left,ClickHouse Cloud,27,27,2026-08-08T11:15:59Z,14876856126,1,Single-symbol summary,0.013
left,ClickHouse Cloud,27,27,2026-08-08T11:15:59Z,14876856126,2,Watchlist summary,0.011
left,ClickHouse Cloud,27,27,2026-08-08T11:15:59Z,14876856126,3,Top movers,0.013
left,ClickHouse Cloud,27,27,2026-08-08T11:15:59Z,14876856126,4,Daily activity,0.01
left,ClickHouse Cloud,28,28,2026-08-08T11:25:59Z,15470256866,1,Single-symbol summary,0.087
left,ClickHouse Cloud,28,28,2026-08-08T11:25:59Z,15470256866,2,Watchlist summary,0.08
left,ClickHouse Cloud,28,28,2026-08-08T11:25:59Z,15470256866,3,Top movers,0.011
left,ClickHouse Cloud,28,28,2026-08-08T11:25:59Z,15470256866,4,Daily activity,0.01
left,ClickHouse Cloud,29,29,2026-08-08T11:35:59Z,16058779354,1,Single-symbol summary,0.007
left,ClickHouse Cloud,29,29,2026-08-08T11:35:59Z,16058779354,2,Watchlist summary,0.011
left,ClickHouse Cloud,29,29,2026-08-08T11:35:59Z,16058779354,3,Top movers,0.011
left,ClickHouse Cloud,29,29,2026-08-08T11:35:59Z,16058779354,4,Daily activity,0.01
left,ClickHouse Cloud,30,30,2026-08-08T11:45:59Z,16604006353,1,Single-symbol summary,0.007
left,ClickHouse Cloud,30,30,2026-08-08T11:45:59Z,16604006353,2,Watchlist summary,0.01
left,ClickHouse Cloud,30,30,2026-08-08T11:45:59Z,16604006353,3,Top movers,0.011
left,ClickHouse Cloud,30,30,2026-08-08T11:45:59Z,16604006353,4,Daily activity,0.01
left,ClickHouse Cloud,31,31,2026-08-08T11:55:59Z,17204550973,1,Single-symbol summary,0.006
left,ClickHouse Cloud,31,31,2026-08-08T11:55:59Z,17204550973,2,Watchlist summary,0.013
left,ClickHouse Cloud,31,31,2026-08-08T11:55:59Z,17204550973,3,Top movers,0.011
