series,label,source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec
left,ClickHouse Cloud,2,2,2026-08-08T07:56:02Z,3742528876,1,Hourly OHLCV bars,0.865
left,ClickHouse Cloud,2,2,2026-08-08T07:56:02Z,3742528876,2,Risk & liquidity (B7),0.421
left,ClickHouse Cloud,3,3,2026-08-08T08:56:02Z,7149139248,1,Hourly OHLCV bars,0.557
left,ClickHouse Cloud,3,3,2026-08-08T08:56:02Z,7149139248,2,Risk & liquidity (B7),0.307
left,ClickHouse Cloud,4,4,2026-08-08T09:56:02Z,10451300014,1,Hourly OHLCV bars,0.589
left,ClickHouse Cloud,4,4,2026-08-08T09:56:02Z,10451300014,2,Risk & liquidity (B7),0.322
left,ClickHouse Cloud,5,5,2026-08-08T10:56:02Z,13693746344,1,Hourly OHLCV bars,0.935
left,ClickHouse Cloud,5,5,2026-08-08T10:56:02Z,13693746344,2,Risk & liquidity (B7),0.428
left,ClickHouse Cloud,6,6,2026-08-08T11:56:02Z,17207612605,1,Hourly OHLCV bars,0.508
left,ClickHouse Cloud,6,6,2026-08-08T11:56:02Z,17207612605,2,Risk & liquidity (B7),0.334
left,ClickHouse Cloud,7,7,2026-08-08T12:56:02Z,20600910656,1,Hourly OHLCV bars,0.898
left,ClickHouse Cloud,7,7,2026-08-08T12:56:02Z,20600910656,2,Risk & liquidity (B7),0.51
left,ClickHouse Cloud,8,8,2026-08-08T13:56:02Z,23847648964,1,Hourly OHLCV bars,0.831
left,ClickHouse Cloud,8,8,2026-08-08T13:56:02Z,23847648964,2,Risk & liquidity (B7),0.597
left,ClickHouse Cloud,9,9,2026-08-08T14:56:02Z,27120394813,1,Hourly OHLCV bars,0.723
left,ClickHouse Cloud,9,9,2026-08-08T14:56:02Z,27120394813,2,Risk & liquidity (B7),0.455
left,ClickHouse Cloud,10,10,2026-08-08T15:56:02Z,30468775164,1,Hourly OHLCV bars,0.782
left,ClickHouse Cloud,10,10,2026-08-08T15:56:02Z,30468775164,2,Risk & liquidity (B7),0.483
left,ClickHouse Cloud,11,11,2026-08-08T16:56:02Z,33749879001,1,Hourly OHLCV bars,0.587
left,ClickHouse Cloud,11,11,2026-08-08T16:56:02Z,33749879001,2,Risk & liquidity (B7),0.45
left,ClickHouse Cloud,12,12,2026-08-08T17:56:02Z,36853722010,1,Hourly OHLCV bars,1.08
left,ClickHouse Cloud,12,12,2026-08-08T17:56:02Z,36853722010,2,Risk & liquidity (B7),0.58
left,ClickHouse Cloud,13,13,2026-08-08T18:56:02Z,39940404643,1,Hourly OHLCV bars,0.728
left,ClickHouse Cloud,13,13,2026-08-08T18:56:02Z,39940404643,2,Risk & liquidity (B7),0.426
left,ClickHouse Cloud,14,14,2026-08-08T19:56:02Z,43039194322,1,Hourly OHLCV bars,0.927
left,ClickHouse Cloud,14,14,2026-08-08T19:56:02Z,43039194322,2,Risk & liquidity (B7),0.584
left,ClickHouse Cloud,15,15,2026-08-08T20:56:02Z,46111116140,1,Hourly OHLCV bars,0.829
left,ClickHouse Cloud,15,15,2026-08-08T20:56:02Z,46111116140,2,Risk & liquidity (B7),0.596
left,ClickHouse Cloud,16,16,2026-08-08T21:56:02Z,49175866023,1,Hourly OHLCV bars,0.878
left,ClickHouse Cloud,16,16,2026-08-08T21:56:02Z,49175866023,2,Risk & liquidity (B7),0.576
left,ClickHouse Cloud,17,17,2026-08-08T22:56:02Z,52443266481,1,Hourly OHLCV bars,0.657
left,ClickHouse Cloud,17,17,2026-08-08T22:56:02Z,52443266481,2,Risk & liquidity (B7),0.538
left,ClickHouse Cloud,18,18,2026-08-08T23:56:02Z,55419548257,1,Hourly OHLCV bars,0.692
left,ClickHouse Cloud,18,18,2026-08-08T23:56:02Z,55419548257,2,Risk & liquidity (B7),0.463
left,ClickHouse Cloud,19,19,2026-08-09T00:56:02Z,58512627462,1,Hourly OHLCV bars,0.854
left,ClickHouse Cloud,19,19,2026-08-09T00:56:02Z,58512627462,2,Risk & liquidity (B7),0.667
left,ClickHouse Cloud,20,20,2026-08-09T01:56:02Z,61372336571,1,Hourly OHLCV bars,0.9
left,ClickHouse Cloud,20,20,2026-08-09T01:56:02Z,61372336571,2,Risk & liquidity (B7),0.67
left,ClickHouse Cloud,21,21,2026-08-09T02:56:02Z,64300511639,1,Hourly OHLCV bars,0.749
left,ClickHouse Cloud,21,21,2026-08-09T02:56:02Z,64300511639,2,Risk & liquidity (B7),0.603
left,ClickHouse Cloud,22,22,2026-08-09T03:56:02Z,67296751626,1,Hourly OHLCV bars,0.74
left,ClickHouse Cloud,22,22,2026-08-09T03:56:02Z,67296751626,2,Risk & liquidity (B7),0.637
left,ClickHouse Cloud,23,23,2026-08-09T04:56:02Z,70171105615,1,Hourly OHLCV bars,1.133
left,ClickHouse Cloud,23,23,2026-08-09T04:56:02Z,70171105615,2,Risk & liquidity (B7),0.661
left,ClickHouse Cloud,24,24,2026-08-09T05:56:02Z,73014746623,1,Hourly OHLCV bars,0.796
left,ClickHouse Cloud,24,24,2026-08-09T05:56:02Z,73014746623,2,Risk & liquidity (B7),0.686
left,ClickHouse Cloud,25,25,2026-08-09T06:56:02Z,75968034150,1,Hourly OHLCV bars,0.809
left,ClickHouse Cloud,25,25,2026-08-09T06:56:02Z,75968034150,2,Risk & liquidity (B7),0.704
left,ClickHouse Cloud,26,26,2026-08-09T07:56:02Z,78744711237,1,Hourly OHLCV bars,0.871
left,ClickHouse Cloud,26,26,2026-08-09T07:56:02Z,78744711237,2,Risk & liquidity (B7),0.728
left,ClickHouse Cloud,27,27,2026-08-09T08:56:02Z,81363815092,1,Hourly OHLCV bars,0.772
left,ClickHouse Cloud,27,27,2026-08-09T08:56:02Z,81363815092,2,Risk & liquidity (B7),0.735
left,ClickHouse Cloud,28,28,2026-08-09T09:56:02Z,83951753947,1,Hourly OHLCV bars,1.039
left,ClickHouse Cloud,28,28,2026-08-09T09:56:02Z,83951753947,2,Risk & liquidity (B7),0.778
left,ClickHouse Cloud,29,29,2026-08-09T10:56:02Z,87063780214,1,Hourly OHLCV bars,1.18
left,ClickHouse Cloud,29,29,2026-08-09T10:56:02Z,87063780214,2,Risk & liquidity (B7),0.811
left,ClickHouse Cloud,30,30,2026-08-09T11:56:02Z,90313224986,1,Hourly OHLCV bars,0.81
left,ClickHouse Cloud,30,30,2026-08-09T11:56:02Z,90313224986,2,Risk & liquidity (B7),0.722
left,ClickHouse Cloud,31,31,2026-08-09T12:56:02Z,93296187953,1,Hourly OHLCV bars,1.012
left,ClickHouse Cloud,31,31,2026-08-09T12:56:02Z,93296187953,2,Risk & liquidity (B7),0.835
left,ClickHouse Cloud,32,32,2026-08-09T13:56:02Z,96365836441,1,Hourly OHLCV bars,0.834
left,ClickHouse Cloud,32,32,2026-08-09T13:56:02Z,96365836441,2,Risk & liquidity (B7),0.7
left,ClickHouse Cloud,33,33,2026-08-09T14:56:02Z,99569689379,1,Hourly OHLCV bars,0.978
left,ClickHouse Cloud,33,33,2026-08-09T14:56:02Z,99569689379,2,Risk & liquidity (B7),0.843
right,Redshift · SUPER,2,2,2026-08-12T17:54:28Z,3539132196,1,Hourly OHLCV bars,15.611969
right,Redshift · SUPER,2,2,2026-08-12T17:54:28Z,3539132196,2,Risk & liquidity (B7),3.507338
right,Redshift · SUPER,3,3,2026-08-12T18:54:48Z,7142932703,1,Hourly OHLCV bars,29.389882
right,Redshift · SUPER,3,3,2026-08-12T18:54:48Z,7142932703,2,Risk & liquidity (B7),118.541744
right,Redshift · SUPER,4,4,2026-08-12T19:55:14Z,10739646237,1,Hourly OHLCV bars,213.845328
right,Redshift · SUPER,4,4,2026-08-12T19:55:14Z,10739646237,2,Risk & liquidity (B7),13.8427
right,Redshift · SUPER,5,5,2026-08-12T20:57:49Z,14346887362,1,Hourly OHLCV bars,64.131728
right,Redshift · SUPER,5,5,2026-08-12T20:57:49Z,14346887362,2,Risk & liquidity (B7),27.784737
right,Redshift · SUPER,6,6,2026-08-12T21:58:44Z,17944900380,1,Hourly OHLCV bars,71.840974
right,Redshift · SUPER,6,6,2026-08-12T21:58:44Z,17944900380,2,Risk & liquidity (B7),32.334565
right,Redshift · SUPER,7,7,2026-08-12T22:59:43Z,21541024360,1,Hourly OHLCV bars,87.85855
right,Redshift · SUPER,7,7,2026-08-12T22:59:43Z,21541024360,2,Risk & liquidity (B7),40.388706
right,Redshift · SUPER,8,8,2026-08-13T00:00:35Z,25158046681,1,Hourly OHLCV bars,105.930057
right,Redshift · SUPER,8,8,2026-08-13T00:00:35Z,25158046681,2,Risk & liquidity (B7),48.927087
right,Redshift · SUPER,9,9,2026-08-13T01:01:39Z,28758932048,1,Hourly OHLCV bars,120.504405
right,Redshift · SUPER,9,9,2026-08-13T01:01:39Z,28758932048,2,Risk & liquidity (B7),55.083924
right,Redshift · SUPER,10,10,2026-08-13T02:02:16Z,32358986128,1,Hourly OHLCV bars,136.53611
right,Redshift · SUPER,10,10,2026-08-13T02:02:16Z,32358986128,2,Risk & liquidity (B7),81.998594
right,Redshift · SUPER,11,11,2026-08-13T03:02:14Z,35960573077,1,Hourly OHLCV bars,149.744311
right,Redshift · SUPER,11,11,2026-08-13T03:02:14Z,35960573077,2,Risk & liquidity (B7),87.142236
right,Redshift · SUPER,12,12,2026-08-13T03:54:52Z,39507372773,1,Hourly OHLCV bars,446.004491
right,Redshift · SUPER,12,12,2026-08-13T03:54:52Z,39507372773,2,Risk & liquidity (B7),92.671605
right,Redshift · SUPER,13,13,2026-08-13T04:55:11Z,43113715625,1,Hourly OHLCV bars,56.021824
right,Redshift · SUPER,13,13,2026-08-13T04:55:11Z,43113715625,2,Risk & liquidity (B7),11.970578
right,Redshift · SUPER,14,14,2026-08-13T06:01:34Z,46769882264,1,Hourly OHLCV bars,45.065908
right,Redshift · SUPER,14,14,2026-08-13T06:01:34Z,46769882264,2,Risk & liquidity (B7),7.822572
right,Redshift · SUPER,15,15,2026-08-13T07:01:56Z,50311961071,1,Hourly OHLCV bars,61.11634
right,Redshift · SUPER,15,15,2026-08-13T07:01:56Z,50311961071,2,Risk & liquidity (B7),23.057097
right,Redshift · SUPER,16,16,2026-08-13T08:02:01Z,53928907694,1,Hourly OHLCV bars,70.692557
right,Redshift · SUPER,16,16,2026-08-13T08:02:01Z,53928907694,2,Risk & liquidity (B7),31.326022
right,Redshift · SUPER,17,17,2026-08-13T09:02:00Z,57534735475,1,Hourly OHLCV bars,84.077744
right,Redshift · SUPER,17,17,2026-08-13T09:02:00Z,57534735475,2,Risk & liquidity (B7),37.670715
right,Redshift · SUPER,18,18,2026-08-13T10:02:06Z,61127219937,1,Hourly OHLCV bars,102.551223
right,Redshift · SUPER,18,18,2026-08-13T10:02:06Z,61127219937,2,Risk & liquidity (B7),51.347266
right,Redshift · SUPER,19,19,2026-08-13T11:02:28Z,64726881755,1,Hourly OHLCV bars,120.270434
right,Redshift · SUPER,19,19,2026-08-13T11:02:28Z,64726881755,2,Risk & liquidity (B7),80.775735
right,Redshift · SUPER,20,20,2026-08-13T12:02:29Z,68330088073,1,Hourly OHLCV bars,136.699789
right,Redshift · SUPER,20,20,2026-08-13T12:02:29Z,68330088073,2,Risk & liquidity (B7),96.14147
right,Redshift · SUPER,21,21,2026-08-13T13:02:33Z,71946007841,1,Hourly OHLCV bars,150.259941
right,Redshift · SUPER,21,21,2026-08-13T13:02:33Z,71946007841,2,Risk & liquidity (B7),83.008091
right,Redshift · SUPER,22,22,2026-08-13T14:02:53Z,75540057221,1,Hourly OHLCV bars,178.054849
right,Redshift · SUPER,22,22,2026-08-13T14:02:53Z,75540057221,2,Risk & liquidity (B7),92.35688
right,Redshift · SUPER,23,23,2026-08-13T15:02:51Z,79146527318,1,Hourly OHLCV bars,199.828932
right,Redshift · SUPER,23,23,2026-08-13T15:02:51Z,79146527318,2,Risk & liquidity (B7),128.659521
right,Redshift · SUPER,24,24,2026-08-13T16:02:36Z,82760697798,1,Hourly OHLCV bars,52.144207
right,Redshift · SUPER,24,24,2026-08-13T16:02:36Z,82760697798,2,Risk & liquidity (B7),11.695733
right,Redshift · SUPER,25,25,2026-08-13T16:57:56Z,86376876842,1,Hourly OHLCV bars,63.592342
right,Redshift · SUPER,25,25,2026-08-13T16:57:56Z,86376876842,2,Risk & liquidity (B7),32.651546
right,Redshift · SUPER,26,26,2026-08-13T18:00:01Z,89920330616,1,Hourly OHLCV bars,82.4392
right,Redshift · SUPER,26,26,2026-08-13T18:00:01Z,89920330616,2,Risk & liquidity (B7),37.732231
right,Redshift · SUPER,27,27,2026-08-13T19:00:20Z,93578343844,1,Hourly OHLCV bars,95.675033
right,Redshift · SUPER,27,27,2026-08-13T19:00:20Z,93578343844,2,Risk & liquidity (B7),49.470311
right,Redshift · SUPER,28,28,2026-08-13T20:00:16Z,97179016064,1,Hourly OHLCV bars,110.796395
right,Redshift · SUPER,28,28,2026-08-13T20:00:16Z,97179016064,2,Risk & liquidity (B7),54.73654
