series,label,source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec
left,ClickHouse Cloud,2,2,2026-08-08T07:56:02Z,3742528876,1,Hourly OHLCV bars,0.865
left,ClickHouse Cloud,2,2,2026-08-08T07:56:02Z,3742528876,2,Risk & liquidity (B7),0.421
left,ClickHouse Cloud,3,3,2026-08-08T08:56:02Z,7149139248,1,Hourly OHLCV bars,0.557
left,ClickHouse Cloud,3,3,2026-08-08T08:56:02Z,7149139248,2,Risk & liquidity (B7),0.307
left,ClickHouse Cloud,4,4,2026-08-08T09:56:02Z,10451300014,1,Hourly OHLCV bars,0.589
left,ClickHouse Cloud,4,4,2026-08-08T09:56:02Z,10451300014,2,Risk & liquidity (B7),0.322
left,ClickHouse Cloud,5,5,2026-08-08T10:56:02Z,13693746344,1,Hourly OHLCV bars,0.935
left,ClickHouse Cloud,5,5,2026-08-08T10:56:02Z,13693746344,2,Risk & liquidity (B7),0.428
left,ClickHouse Cloud,6,6,2026-08-08T11:56:02Z,17207612605,1,Hourly OHLCV bars,0.508
left,ClickHouse Cloud,6,6,2026-08-08T11:56:02Z,17207612605,2,Risk & liquidity (B7),0.334
left,ClickHouse Cloud,7,7,2026-08-08T12:56:02Z,20600910656,1,Hourly OHLCV bars,0.898
left,ClickHouse Cloud,7,7,2026-08-08T12:56:02Z,20600910656,2,Risk & liquidity (B7),0.51
left,ClickHouse Cloud,8,8,2026-08-08T13:56:02Z,23847648964,1,Hourly OHLCV bars,0.831
left,ClickHouse Cloud,8,8,2026-08-08T13:56:02Z,23847648964,2,Risk & liquidity (B7),0.597
left,ClickHouse Cloud,9,9,2026-08-08T14:56:02Z,27120394813,1,Hourly OHLCV bars,0.723
left,ClickHouse Cloud,9,9,2026-08-08T14:56:02Z,27120394813,2,Risk & liquidity (B7),0.455
left,ClickHouse Cloud,10,10,2026-08-08T15:56:02Z,30468775164,1,Hourly OHLCV bars,0.782
left,ClickHouse Cloud,10,10,2026-08-08T15:56:02Z,30468775164,2,Risk & liquidity (B7),0.483
left,ClickHouse Cloud,11,11,2026-08-08T16:56:02Z,33749879001,1,Hourly OHLCV bars,0.587
left,ClickHouse Cloud,11,11,2026-08-08T16:56:02Z,33749879001,2,Risk & liquidity (B7),0.45
left,ClickHouse Cloud,12,12,2026-08-08T17:56:02Z,36853722010,1,Hourly OHLCV bars,1.08
left,ClickHouse Cloud,12,12,2026-08-08T17:56:02Z,36853722010,2,Risk & liquidity (B7),0.58
left,ClickHouse Cloud,13,13,2026-08-08T18:56:02Z,39940404643,1,Hourly OHLCV bars,0.728
left,ClickHouse Cloud,13,13,2026-08-08T18:56:02Z,39940404643,2,Risk & liquidity (B7),0.426
left,ClickHouse Cloud,14,14,2026-08-08T19:56:02Z,43039194322,1,Hourly OHLCV bars,0.927
left,ClickHouse Cloud,14,14,2026-08-08T19:56:02Z,43039194322,2,Risk & liquidity (B7),0.584
left,ClickHouse Cloud,15,15,2026-08-08T20:56:02Z,46111116140,1,Hourly OHLCV bars,0.829
left,ClickHouse Cloud,15,15,2026-08-08T20:56:02Z,46111116140,2,Risk & liquidity (B7),0.596
left,ClickHouse Cloud,16,16,2026-08-08T21:56:02Z,49175866023,1,Hourly OHLCV bars,0.878
left,ClickHouse Cloud,16,16,2026-08-08T21:56:02Z,49175866023,2,Risk & liquidity (B7),0.576
left,ClickHouse Cloud,17,17,2026-08-08T22:56:02Z,52443266481,1,Hourly OHLCV bars,0.657
left,ClickHouse Cloud,17,17,2026-08-08T22:56:02Z,52443266481,2,Risk & liquidity (B7),0.538
left,ClickHouse Cloud,18,18,2026-08-08T23:56:02Z,55419548257,1,Hourly OHLCV bars,0.692
left,ClickHouse Cloud,18,18,2026-08-08T23:56:02Z,55419548257,2,Risk & liquidity (B7),0.463
left,ClickHouse Cloud,19,19,2026-08-09T00:56:02Z,58512627462,1,Hourly OHLCV bars,0.854
left,ClickHouse Cloud,19,19,2026-08-09T00:56:02Z,58512627462,2,Risk & liquidity (B7),0.667
left,ClickHouse Cloud,20,20,2026-08-09T01:56:02Z,61372336571,1,Hourly OHLCV bars,0.9
left,ClickHouse Cloud,20,20,2026-08-09T01:56:02Z,61372336571,2,Risk & liquidity (B7),0.67
left,ClickHouse Cloud,21,21,2026-08-09T02:56:02Z,64300511639,1,Hourly OHLCV bars,0.749
left,ClickHouse Cloud,21,21,2026-08-09T02:56:02Z,64300511639,2,Risk & liquidity (B7),0.603
left,ClickHouse Cloud,22,22,2026-08-09T03:56:02Z,67296751626,1,Hourly OHLCV bars,0.74
left,ClickHouse Cloud,22,22,2026-08-09T03:56:02Z,67296751626,2,Risk & liquidity (B7),0.637
left,ClickHouse Cloud,23,23,2026-08-09T04:56:02Z,70171105615,1,Hourly OHLCV bars,1.133
left,ClickHouse Cloud,23,23,2026-08-09T04:56:02Z,70171105615,2,Risk & liquidity (B7),0.661
left,ClickHouse Cloud,24,24,2026-08-09T05:56:02Z,73014746623,1,Hourly OHLCV bars,0.796
left,ClickHouse Cloud,24,24,2026-08-09T05:56:02Z,73014746623,2,Risk & liquidity (B7),0.686
left,ClickHouse Cloud,25,25,2026-08-09T06:56:02Z,75968034150,1,Hourly OHLCV bars,0.809
left,ClickHouse Cloud,25,25,2026-08-09T06:56:02Z,75968034150,2,Risk & liquidity (B7),0.704
left,ClickHouse Cloud,26,26,2026-08-09T07:56:02Z,78744711237,1,Hourly OHLCV bars,0.871
left,ClickHouse Cloud,26,26,2026-08-09T07:56:02Z,78744711237,2,Risk & liquidity (B7),0.728
left,ClickHouse Cloud,27,27,2026-08-09T08:56:02Z,81363815092,1,Hourly OHLCV bars,0.772
left,ClickHouse Cloud,27,27,2026-08-09T08:56:02Z,81363815092,2,Risk & liquidity (B7),0.735
left,ClickHouse Cloud,28,28,2026-08-09T09:56:02Z,83951753947,1,Hourly OHLCV bars,1.039
left,ClickHouse Cloud,28,28,2026-08-09T09:56:02Z,83951753947,2,Risk & liquidity (B7),0.778
left,ClickHouse Cloud,29,29,2026-08-09T10:56:02Z,87063780214,1,Hourly OHLCV bars,1.18
left,ClickHouse Cloud,29,29,2026-08-09T10:56:02Z,87063780214,2,Risk & liquidity (B7),0.811
left,ClickHouse Cloud,30,30,2026-08-09T11:56:02Z,90313224986,1,Hourly OHLCV bars,0.81
left,ClickHouse Cloud,30,30,2026-08-09T11:56:02Z,90313224986,2,Risk & liquidity (B7),0.722
left,ClickHouse Cloud,31,31,2026-08-09T12:56:02Z,93296187953,1,Hourly OHLCV bars,1.012
left,ClickHouse Cloud,31,31,2026-08-09T12:56:02Z,93296187953,2,Risk & liquidity (B7),0.835
left,ClickHouse Cloud,32,32,2026-08-09T13:56:02Z,96365836441,1,Hourly OHLCV bars,0.834
left,ClickHouse Cloud,32,32,2026-08-09T13:56:02Z,96365836441,2,Risk & liquidity (B7),0.7
left,ClickHouse Cloud,33,33,2026-08-09T14:56:02Z,99569689379,1,Hourly OHLCV bars,0.978
left,ClickHouse Cloud,33,33,2026-08-09T14:56:02Z,99569689379,2,Risk & liquidity (B7),0.843
right,Redshift · Typed,2,2,2026-08-12T17:54:09Z,3539132196,1,Hourly OHLCV bars,15.920081
right,Redshift · Typed,2,2,2026-08-12T17:54:09Z,3539132196,2,Risk & liquidity (B7),1.746814
right,Redshift · Typed,3,3,2026-08-12T18:54:09Z,7142932703,1,Hourly OHLCV bars,31.239792
right,Redshift · Typed,3,3,2026-08-12T18:54:09Z,7142932703,2,Risk & liquidity (B7),5.951837
right,Redshift · Typed,4,4,2026-08-12T19:54:10Z,10739646237,1,Hourly OHLCV bars,46.703796
right,Redshift · Typed,4,4,2026-08-12T19:54:10Z,10739646237,2,Risk & liquidity (B7),15.575967
right,Redshift · Typed,5,5,2026-08-12T20:54:09Z,14346887362,1,Hourly OHLCV bars,63.46344
right,Redshift · Typed,5,5,2026-08-12T20:54:09Z,14346887362,2,Risk & liquidity (B7),155.388243
right,Redshift · Typed,6,6,2026-08-12T21:54:10Z,17944900380,1,Hourly OHLCV bars,77.17451
right,Redshift · Typed,6,6,2026-08-12T21:54:10Z,17944900380,2,Risk & liquidity (B7),196.627533
right,Redshift · Typed,7,7,2026-08-12T22:54:09Z,21541024360,1,Hourly OHLCV bars,92.652014
right,Redshift · Typed,7,7,2026-08-12T22:54:09Z,21541024360,2,Risk & liquidity (B7),241.124583
right,Redshift · Typed,8,8,2026-08-12T23:54:09Z,25158046681,1,Hourly OHLCV bars,108.211803
right,Redshift · Typed,8,8,2026-08-12T23:54:09Z,25158046681,2,Risk & liquidity (B7),276.683712
right,Redshift · Typed,9,9,2026-08-13T00:54:10Z,28758932048,1,Hourly OHLCV bars,129.005022
right,Redshift · Typed,9,9,2026-08-13T00:54:10Z,28758932048,2,Risk & liquidity (B7),317.677939
right,Redshift · Typed,10,10,2026-08-13T01:54:10Z,32358986128,1,Hourly OHLCV bars,144.999259
right,Redshift · Typed,10,10,2026-08-13T01:54:10Z,32358986128,2,Risk & liquidity (B7),338.236294
right,Redshift · Typed,11,11,2026-08-13T02:54:08Z,35960573077,1,Hourly OHLCV bars,159.313652
right,Redshift · Typed,11,11,2026-08-13T02:54:08Z,35960573077,2,Risk & liquidity (B7),324.540367
right,Redshift · Typed,12,12,2026-08-13T03:54:10Z,39507372773,1,Hourly OHLCV bars,34.857398
right,Redshift · Typed,12,12,2026-08-13T03:54:10Z,39507372773,2,Risk & liquidity (B7),5.986836
right,Redshift · Typed,13,13,2026-08-13T04:54:10Z,43113715625,1,Hourly OHLCV bars,51.198841
right,Redshift · Typed,13,13,2026-08-13T04:54:10Z,43113715625,2,Risk & liquidity (B7),9.29629
right,Redshift · Typed,14,14,2026-08-13T05:54:12Z,46769882264,1,Hourly OHLCV bars,67.427364
right,Redshift · Typed,14,14,2026-08-13T05:54:12Z,46769882264,2,Risk & liquidity (B7),373.736032
right,Redshift · Typed,15,15,2026-08-13T06:54:10Z,50311961071,1,Hourly OHLCV bars,81.900148
right,Redshift · Typed,15,15,2026-08-13T06:54:10Z,50311961071,2,Risk & liquidity (B7),383.183353
right,Redshift · Typed,16,16,2026-08-13T07:54:11Z,53928907694,1,Hourly OHLCV bars,96.422819
right,Redshift · Typed,16,16,2026-08-13T07:54:11Z,53928907694,2,Risk & liquidity (B7),372.57452
right,Redshift · Typed,17,17,2026-08-13T08:54:10Z,57534735475,1,Hourly OHLCV bars,110.071634
right,Redshift · Typed,17,17,2026-08-13T08:54:10Z,57534735475,2,Risk & liquidity (B7),359.024648
right,Redshift · Typed,18,18,2026-08-13T09:54:12Z,61127219937,1,Hourly OHLCV bars,130.18071
right,Redshift · Typed,18,18,2026-08-13T09:54:12Z,61127219937,2,Risk & liquidity (B7),342.45943
right,Redshift · Typed,19,19,2026-08-13T10:54:10Z,64726881755,1,Hourly OHLCV bars,156.440168
right,Redshift · Typed,19,19,2026-08-13T10:54:10Z,64726881755,2,Risk & liquidity (B7),339.519636
right,Redshift · Typed,20,20,2026-08-13T11:54:10Z,68330088073,1,Hourly OHLCV bars,170.877919
right,Redshift · Typed,20,20,2026-08-13T11:54:10Z,68330088073,2,Risk & liquidity (B7),326.595559
right,Redshift · Typed,21,21,2026-08-13T12:54:09Z,71946007841,1,Hourly OHLCV bars,192.42891
right,Redshift · Typed,21,21,2026-08-13T12:54:09Z,71946007841,2,Risk & liquidity (B7),309.670279
right,Redshift · Typed,22,22,2026-08-13T13:54:11Z,75540057221,1,Hourly OHLCV bars,210.127509
right,Redshift · Typed,22,22,2026-08-13T13:54:11Z,75540057221,2,Risk & liquidity (B7),310.6047
right,Redshift · Typed,23,23,2026-08-13T14:54:11Z,79146527318,1,Hourly OHLCV bars,215.844457
right,Redshift · Typed,23,23,2026-08-13T14:54:11Z,79146527318,2,Risk & liquidity (B7),303.055248
right,Redshift · Typed,24,24,2026-08-13T15:54:11Z,82760697798,1,Hourly OHLCV bars,234.741752
right,Redshift · Typed,24,24,2026-08-13T15:54:11Z,82760697798,2,Risk & liquidity (B7),269.26161
right,Redshift · Typed,25,25,2026-08-13T16:54:11Z,86376876842,1,Hourly OHLCV bars,64.849824
right,Redshift · Typed,25,25,2026-08-13T16:54:11Z,86376876842,2,Risk & liquidity (B7),158.734885
right,Redshift · Typed,26,26,2026-08-13T17:54:10Z,89920330616,1,Hourly OHLCV bars,79.47847
right,Redshift · Typed,26,26,2026-08-13T17:54:10Z,89920330616,2,Risk & liquidity (B7),270.424794
right,Redshift · Typed,27,27,2026-08-13T18:54:11Z,93578343844,1,Hourly OHLCV bars,93.599052
right,Redshift · Typed,27,27,2026-08-13T18:54:11Z,93578343844,2,Risk & liquidity (B7),274.01232
right,Redshift · Typed,28,28,2026-08-13T19:54:11Z,97179016064,1,Hourly OHLCV bars,111.850088
right,Redshift · Typed,28,28,2026-08-13T19:54:11Z,97179016064,2,Risk & liquidity (B7),250.06518
