series,label,source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec
left,Redshift · SUPER,2,2,2026-08-12T17:54:28Z,3539132196,1,Hourly OHLCV bars,15.611969
left,Redshift · SUPER,2,2,2026-08-12T17:54:28Z,3539132196,2,Risk & liquidity (B7),3.507338
left,Redshift · SUPER,3,3,2026-08-12T18:54:48Z,7142932703,1,Hourly OHLCV bars,29.389882
left,Redshift · SUPER,3,3,2026-08-12T18:54:48Z,7142932703,2,Risk & liquidity (B7),118.541744
left,Redshift · SUPER,4,4,2026-08-12T19:55:14Z,10739646237,1,Hourly OHLCV bars,213.845328
left,Redshift · SUPER,4,4,2026-08-12T19:55:14Z,10739646237,2,Risk & liquidity (B7),13.8427
left,Redshift · SUPER,5,5,2026-08-12T20:57:49Z,14346887362,1,Hourly OHLCV bars,64.131728
left,Redshift · SUPER,5,5,2026-08-12T20:57:49Z,14346887362,2,Risk & liquidity (B7),27.784737
left,Redshift · SUPER,6,6,2026-08-12T21:58:44Z,17944900380,1,Hourly OHLCV bars,71.840974
left,Redshift · SUPER,6,6,2026-08-12T21:58:44Z,17944900380,2,Risk & liquidity (B7),32.334565
left,Redshift · SUPER,7,7,2026-08-12T22:59:43Z,21541024360,1,Hourly OHLCV bars,87.85855
left,Redshift · SUPER,7,7,2026-08-12T22:59:43Z,21541024360,2,Risk & liquidity (B7),40.388706
left,Redshift · SUPER,8,8,2026-08-13T00:00:35Z,25158046681,1,Hourly OHLCV bars,105.930057
left,Redshift · SUPER,8,8,2026-08-13T00:00:35Z,25158046681,2,Risk & liquidity (B7),48.927087
left,Redshift · SUPER,9,9,2026-08-13T01:01:39Z,28758932048,1,Hourly OHLCV bars,120.504405
left,Redshift · SUPER,9,9,2026-08-13T01:01:39Z,28758932048,2,Risk & liquidity (B7),55.083924
left,Redshift · SUPER,10,10,2026-08-13T02:02:16Z,32358986128,1,Hourly OHLCV bars,136.53611
left,Redshift · SUPER,10,10,2026-08-13T02:02:16Z,32358986128,2,Risk & liquidity (B7),81.998594
left,Redshift · SUPER,11,11,2026-08-13T03:02:14Z,35960573077,1,Hourly OHLCV bars,149.744311
left,Redshift · SUPER,11,11,2026-08-13T03:02:14Z,35960573077,2,Risk & liquidity (B7),87.142236
left,Redshift · SUPER,12,12,2026-08-13T03:54:52Z,39507372773,1,Hourly OHLCV bars,446.004491
left,Redshift · SUPER,12,12,2026-08-13T03:54:52Z,39507372773,2,Risk & liquidity (B7),92.671605
left,Redshift · SUPER,13,13,2026-08-13T04:55:11Z,43113715625,1,Hourly OHLCV bars,56.021824
left,Redshift · SUPER,13,13,2026-08-13T04:55:11Z,43113715625,2,Risk & liquidity (B7),11.970578
left,Redshift · SUPER,14,14,2026-08-13T06:01:34Z,46769882264,1,Hourly OHLCV bars,45.065908
left,Redshift · SUPER,14,14,2026-08-13T06:01:34Z,46769882264,2,Risk & liquidity (B7),7.822572
left,Redshift · SUPER,15,15,2026-08-13T07:01:56Z,50311961071,1,Hourly OHLCV bars,61.11634
left,Redshift · SUPER,15,15,2026-08-13T07:01:56Z,50311961071,2,Risk & liquidity (B7),23.057097
left,Redshift · SUPER,16,16,2026-08-13T08:02:01Z,53928907694,1,Hourly OHLCV bars,70.692557
left,Redshift · SUPER,16,16,2026-08-13T08:02:01Z,53928907694,2,Risk & liquidity (B7),31.326022
left,Redshift · SUPER,17,17,2026-08-13T09:02:00Z,57534735475,1,Hourly OHLCV bars,84.077744
left,Redshift · SUPER,17,17,2026-08-13T09:02:00Z,57534735475,2,Risk & liquidity (B7),37.670715
left,Redshift · SUPER,18,18,2026-08-13T10:02:06Z,61127219937,1,Hourly OHLCV bars,102.551223
left,Redshift · SUPER,18,18,2026-08-13T10:02:06Z,61127219937,2,Risk & liquidity (B7),51.347266
left,Redshift · SUPER,19,19,2026-08-13T11:02:28Z,64726881755,1,Hourly OHLCV bars,120.270434
left,Redshift · SUPER,19,19,2026-08-13T11:02:28Z,64726881755,2,Risk & liquidity (B7),80.775735
left,Redshift · SUPER,20,20,2026-08-13T12:02:29Z,68330088073,1,Hourly OHLCV bars,136.699789
left,Redshift · SUPER,20,20,2026-08-13T12:02:29Z,68330088073,2,Risk & liquidity (B7),96.14147
left,Redshift · SUPER,21,21,2026-08-13T13:02:33Z,71946007841,1,Hourly OHLCV bars,150.259941
left,Redshift · SUPER,21,21,2026-08-13T13:02:33Z,71946007841,2,Risk & liquidity (B7),83.008091
left,Redshift · SUPER,22,22,2026-08-13T14:02:53Z,75540057221,1,Hourly OHLCV bars,178.054849
left,Redshift · SUPER,22,22,2026-08-13T14:02:53Z,75540057221,2,Risk & liquidity (B7),92.35688
left,Redshift · SUPER,23,23,2026-08-13T15:02:51Z,79146527318,1,Hourly OHLCV bars,199.828932
left,Redshift · SUPER,23,23,2026-08-13T15:02:51Z,79146527318,2,Risk & liquidity (B7),128.659521
left,Redshift · SUPER,24,24,2026-08-13T16:02:36Z,82760697798,1,Hourly OHLCV bars,52.144207
left,Redshift · SUPER,24,24,2026-08-13T16:02:36Z,82760697798,2,Risk & liquidity (B7),11.695733
left,Redshift · SUPER,25,25,2026-08-13T16:57:56Z,86376876842,1,Hourly OHLCV bars,63.592342
left,Redshift · SUPER,25,25,2026-08-13T16:57:56Z,86376876842,2,Risk & liquidity (B7),32.651546
left,Redshift · SUPER,26,26,2026-08-13T18:00:01Z,89920330616,1,Hourly OHLCV bars,82.4392
left,Redshift · SUPER,26,26,2026-08-13T18:00:01Z,89920330616,2,Risk & liquidity (B7),37.732231
left,Redshift · SUPER,27,27,2026-08-13T19:00:20Z,93578343844,1,Hourly OHLCV bars,95.675033
left,Redshift · SUPER,27,27,2026-08-13T19:00:20Z,93578343844,2,Risk & liquidity (B7),49.470311
left,Redshift · SUPER,28,28,2026-08-13T20:00:16Z,97179016064,1,Hourly OHLCV bars,110.796395
left,Redshift · SUPER,28,28,2026-08-13T20:00:16Z,97179016064,2,Risk & liquidity (B7),54.73654
right,Redshift · Typed,2,2,2026-08-12T17:54:09Z,3539132196,1,Hourly OHLCV bars,15.920081
right,Redshift · Typed,2,2,2026-08-12T17:54:09Z,3539132196,2,Risk & liquidity (B7),1.746814
right,Redshift · Typed,3,3,2026-08-12T18:54:09Z,7142932703,1,Hourly OHLCV bars,31.239792
right,Redshift · Typed,3,3,2026-08-12T18:54:09Z,7142932703,2,Risk & liquidity (B7),5.951837
right,Redshift · Typed,4,4,2026-08-12T19:54:10Z,10739646237,1,Hourly OHLCV bars,46.703796
right,Redshift · Typed,4,4,2026-08-12T19:54:10Z,10739646237,2,Risk & liquidity (B7),15.575967
right,Redshift · Typed,5,5,2026-08-12T20:54:09Z,14346887362,1,Hourly OHLCV bars,63.46344
right,Redshift · Typed,5,5,2026-08-12T20:54:09Z,14346887362,2,Risk & liquidity (B7),155.388243
right,Redshift · Typed,6,6,2026-08-12T21:54:10Z,17944900380,1,Hourly OHLCV bars,77.17451
right,Redshift · Typed,6,6,2026-08-12T21:54:10Z,17944900380,2,Risk & liquidity (B7),196.627533
right,Redshift · Typed,7,7,2026-08-12T22:54:09Z,21541024360,1,Hourly OHLCV bars,92.652014
right,Redshift · Typed,7,7,2026-08-12T22:54:09Z,21541024360,2,Risk & liquidity (B7),241.124583
right,Redshift · Typed,8,8,2026-08-12T23:54:09Z,25158046681,1,Hourly OHLCV bars,108.211803
right,Redshift · Typed,8,8,2026-08-12T23:54:09Z,25158046681,2,Risk & liquidity (B7),276.683712
right,Redshift · Typed,9,9,2026-08-13T00:54:10Z,28758932048,1,Hourly OHLCV bars,129.005022
right,Redshift · Typed,9,9,2026-08-13T00:54:10Z,28758932048,2,Risk & liquidity (B7),317.677939
right,Redshift · Typed,10,10,2026-08-13T01:54:10Z,32358986128,1,Hourly OHLCV bars,144.999259
right,Redshift · Typed,10,10,2026-08-13T01:54:10Z,32358986128,2,Risk & liquidity (B7),338.236294
right,Redshift · Typed,11,11,2026-08-13T02:54:08Z,35960573077,1,Hourly OHLCV bars,159.313652
right,Redshift · Typed,11,11,2026-08-13T02:54:08Z,35960573077,2,Risk & liquidity (B7),324.540367
right,Redshift · Typed,12,12,2026-08-13T03:54:10Z,39507372773,1,Hourly OHLCV bars,34.857398
right,Redshift · Typed,12,12,2026-08-13T03:54:10Z,39507372773,2,Risk & liquidity (B7),5.986836
right,Redshift · Typed,13,13,2026-08-13T04:54:10Z,43113715625,1,Hourly OHLCV bars,51.198841
right,Redshift · Typed,13,13,2026-08-13T04:54:10Z,43113715625,2,Risk & liquidity (B7),9.29629
right,Redshift · Typed,14,14,2026-08-13T05:54:12Z,46769882264,1,Hourly OHLCV bars,67.427364
right,Redshift · Typed,14,14,2026-08-13T05:54:12Z,46769882264,2,Risk & liquidity (B7),373.736032
right,Redshift · Typed,15,15,2026-08-13T06:54:10Z,50311961071,1,Hourly OHLCV bars,81.900148
right,Redshift · Typed,15,15,2026-08-13T06:54:10Z,50311961071,2,Risk & liquidity (B7),383.183353
right,Redshift · Typed,16,16,2026-08-13T07:54:11Z,53928907694,1,Hourly OHLCV bars,96.422819
right,Redshift · Typed,16,16,2026-08-13T07:54:11Z,53928907694,2,Risk & liquidity (B7),372.57452
right,Redshift · Typed,17,17,2026-08-13T08:54:10Z,57534735475,1,Hourly OHLCV bars,110.071634
right,Redshift · Typed,17,17,2026-08-13T08:54:10Z,57534735475,2,Risk & liquidity (B7),359.024648
right,Redshift · Typed,18,18,2026-08-13T09:54:12Z,61127219937,1,Hourly OHLCV bars,130.18071
right,Redshift · Typed,18,18,2026-08-13T09:54:12Z,61127219937,2,Risk & liquidity (B7),342.45943
right,Redshift · Typed,19,19,2026-08-13T10:54:10Z,64726881755,1,Hourly OHLCV bars,156.440168
right,Redshift · Typed,19,19,2026-08-13T10:54:10Z,64726881755,2,Risk & liquidity (B7),339.519636
right,Redshift · Typed,20,20,2026-08-13T11:54:10Z,68330088073,1,Hourly OHLCV bars,170.877919
right,Redshift · Typed,20,20,2026-08-13T11:54:10Z,68330088073,2,Risk & liquidity (B7),326.595559
right,Redshift · Typed,21,21,2026-08-13T12:54:09Z,71946007841,1,Hourly OHLCV bars,192.42891
right,Redshift · Typed,21,21,2026-08-13T12:54:09Z,71946007841,2,Risk & liquidity (B7),309.670279
right,Redshift · Typed,22,22,2026-08-13T13:54:11Z,75540057221,1,Hourly OHLCV bars,210.127509
right,Redshift · Typed,22,22,2026-08-13T13:54:11Z,75540057221,2,Risk & liquidity (B7),310.6047
right,Redshift · Typed,23,23,2026-08-13T14:54:11Z,79146527318,1,Hourly OHLCV bars,215.844457
right,Redshift · Typed,23,23,2026-08-13T14:54:11Z,79146527318,2,Risk & liquidity (B7),303.055248
right,Redshift · Typed,24,24,2026-08-13T15:54:11Z,82760697798,1,Hourly OHLCV bars,234.741752
right,Redshift · Typed,24,24,2026-08-13T15:54:11Z,82760697798,2,Risk & liquidity (B7),269.26161
right,Redshift · Typed,25,25,2026-08-13T16:54:11Z,86376876842,1,Hourly OHLCV bars,64.849824
right,Redshift · Typed,25,25,2026-08-13T16:54:11Z,86376876842,2,Risk & liquidity (B7),158.734885
right,Redshift · Typed,26,26,2026-08-13T17:54:10Z,89920330616,1,Hourly OHLCV bars,79.47847
right,Redshift · Typed,26,26,2026-08-13T17:54:10Z,89920330616,2,Risk & liquidity (B7),270.424794
right,Redshift · Typed,27,27,2026-08-13T18:54:11Z,93578343844,1,Hourly OHLCV bars,93.599052
right,Redshift · Typed,27,27,2026-08-13T18:54:11Z,93578343844,2,Risk & liquidity (B7),274.01232
right,Redshift · Typed,28,28,2026-08-13T19:54:11Z,97179016064,1,Hourly OHLCV bars,111.850088
right,Redshift · Typed,28,28,2026-08-13T19:54:11Z,97179016064,2,Risk & liquidity (B7),250.06518
