query_id,start_time,elapsed_seconds,query_id,table_name,used_range_restricted_scan,scanned_rows,rows_after_filter,scanned_bytes,blocks_read,local_blocks,remote_blocks,scan_seconds,max_data_skewness_pct,max_time_skewness_pct,local_spill_blocks,remote_spill_blocks,query_text
2034519,2026-08-12 16:53:56.762781,0.16858,2034519,,0,0,65,0,0,0,0,0.0018,0,26,0,0,"SELECT COALESCE(SUM(n_quotes), 0) FROM quotes_daily"
2034519,2026-08-12 16:53:56.762781,0.16858,2034519,quotes_shared.public.mv_tbl__quotes_daily__0,0,0,0,0,0,0,0,0.0018,0,29,0,0,"SELECT COALESCE(SUM(n_quotes), 0) FROM quotes_daily"
2034520,2026-08-12 16:53:56.762888,0.236213,2034520,,0,0,65,0,0,0,0,0.0018,0,21,0,0,"SELECT COALESCE(SUM(n_quotes), 0) FROM quotes_daily"
2034520,2026-08-12 16:53:56.762888,0.236213,2034520,quotes_shared.public.mv_tbl__quotes_daily__0,0,0,0,0,0,0,0,0.0009,0,37,0,0,"SELECT COALESCE(SUM(n_quotes), 0) FROM quotes_daily"
2034524,2026-08-12 16:53:56.932919,0.064914,2034524,,0,0,65,0,0,0,0,0.0021,0,16,0,0,SELECT COUNT(*) FROM quotes_daily
2034524,2026-08-12 16:53:56.932919,0.064914,2034524,quotes_shared.public.mv_tbl__quotes_daily__0,0,0,0,0,0,0,0,0.0017,0,52,0,0,SELECT COUNT(*) FROM quotes_daily
2034528,2026-08-12 16:53:56.999399,0.076062,2034528,,0,0,65,0,0,0,0,0.0016,0,25,0,0,"SELECT COUNT(*) AS days_traded, SUM(n_quotes) AS total_quotes, MIN(bp_min) AS lowest_bid, MAX(bp_max) AS highest_bid, MIN(ap_min) AS lowest_ask, MAX(ap_max) AS highest_ask, SUM(spread_sum) / SUM(n_quotes) AS avg_spread, SUM(bs_sum) AS total_bid_volum"
2034528,2026-08-12 16:53:56.999399,0.076062,2034528,quotes_shared.public.mv_tbl__quotes_daily__0,1,0,0,0,0,0,0,0.0015,0,22,0,0,"SELECT COUNT(*) AS days_traded, SUM(n_quotes) AS total_quotes, MIN(bp_min) AS lowest_bid, MAX(bp_max) AS highest_bid, MIN(ap_min) AS lowest_ask, MAX(ap_max) AS highest_ask, SUM(spread_sum) / SUM(n_quotes) AS avg_spread, SUM(bs_sum) AS total_bid_volum"
2034529,2026-08-12 16:53:57.000580,0.071593,2034529,,0,0,65,0,0,0,0,0.0016,0,17,0,0,SELECT COUNT(*) FROM quotes_daily
2034529,2026-08-12 16:53:57.000580,0.071593,2034529,quotes_shared.public.mv_tbl__quotes_daily__0,0,0,0,0,0,0,0,0.0018,0,53,0,0,SELECT COUNT(*) FROM quotes_daily
2034536,2026-08-12 16:53:57.073755,0.102396,2034536,,0,0,0,0,0,0,0,0.0038,0,22,0,0,"WITH src AS ( SELECT DATE_TRUNC('hour', TIMESTAMP 'epoch' + t / 1000 * INTERVAL '1 second') AS hour, bp, bs, ap, t FROM quotes_typed WHERE sym = 'AAPL' ), ranked AS ( SELECT hour, bp, bs, ap, ROW_NUMBER() OVER (PARTITION BY hour ORDER BY t ASC) AS rn"
2034536,2026-08-12 16:53:57.073755,0.102396,2034536,quotes_shared.public.mv_tbl__quotes_typed__0,1,0,0,0,0,0,0,0.0013,0,27,0,0,"WITH src AS ( SELECT DATE_TRUNC('hour', TIMESTAMP 'epoch' + t / 1000 * INTERVAL '1 second') AS hour, bp, bs, ap, t FROM quotes_typed WHERE sym = 'AAPL' ), ranked AS ( SELECT hour, bp, bs, ap, ROW_NUMBER() OVER (PARTITION BY hour ORDER BY t ASC) AS rn"
2034545,2026-08-12 16:54:02.320904,0.088881,2034545,,0,0,0,0,0,0,0,0.0046,0,24,0,0,"SELECT sym, COUNT(*) AS days_traded, SUM(n_quotes) AS total_quotes, MIN(bp_min) AS lowest_bid, MAX(bp_max) AS highest_bid, SUM(spread_sum) / SUM(n_quotes) AS avg_spread FROM quotes_daily WHERE sym IN ('AAPL', 'MSFT', 'GOOGL', 'AMZN', 'TSLA', 'META', "
2034545,2026-08-12 16:54:02.320904,0.088881,2034545,quotes_shared.public.mv_tbl__quotes_daily__0,1,0,0,0,0,0,0,0.0022,0,17,0,0,"SELECT sym, COUNT(*) AS days_traded, SUM(n_quotes) AS total_quotes, MIN(bp_min) AS lowest_bid, MAX(bp_max) AS highest_bid, SUM(spread_sum) / SUM(n_quotes) AS avg_spread FROM quotes_daily WHERE sym IN ('AAPL', 'MSFT', 'GOOGL', 'AMZN', 'TSLA', 'META', "
2034552,2026-08-12 16:54:02.833520,0.079306,2034552,,0,0,0,0,0,0,0,0.0033,0,19,0,0,"SELECT sym, pct_range FROM ( SELECT sym, (MAX(bp_max) - MIN(bp_min)) / MIN(bp_min) * 100 AS pct_range FROM quotes_daily GROUP BY sym ) t ORDER BY ABS(pct_range) DESC LIMIT 20"
