table_name,table_id,vacuum_type,is_automatic,status,start_time,end_time,duration_seconds,rows_before_vacuum,size_before_vacuum,sortedrows_before_vacuum,sortedrows_after_vacuum
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 16:57:13.105127,,0.0,17785,2114,8867,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 16:57:13.105127,2026-08-12 16:57:14.574989,1.469862,9236,2116,8867,318
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 16:58:42.562757,,0.0,27264,2114,318,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 16:58:42.562757,2026-08-12 16:58:46.162066,3.599309,18460,2116,318,199
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 17:00:14.606564,2026-08-12 17:00:18.735033,4.128469,9609,2116,199,131
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 17:00:14.606564,,0.0,27573,2114,199,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 17:01:42.079923,,0.0,27877,2114,131,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 17:01:42.079923,2026-08-12 17:01:46.334713,4.25479,9732,2116,131,97
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 17:03:13.926773,,0.0,18707,2114,97,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 17:03:13.926773,2026-08-12 17:03:17.818187,3.891414,9768,2116,97,96
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 17:04:42.011790,,0.0,28035,2114,96,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 17:04:42.011790,2026-08-12 17:04:45.439141,3.427351,9841,2116,96,85
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 17:06:12.208904,2026-08-12 17:06:15.361924,3.15302,9878,2116,85,85
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 17:06:12.208904,,0.0,18975,2114,85,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 17:07:42.092692,2026-08-12 17:07:45.636848,3.544156,19400,2231,85,77
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 17:07:42.092692,,0.0,28632,2229,85,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 17:09:12.302390,2026-08-12 17:09:14.827269,2.524879,16736,2530,77,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 17:09:12.302390,,0.0,35535,2528,77,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 17:10:43.614754,2026-08-12 17:10:46.174719,2.559965,19213,2530,47,47
