NAME,REFRESH_END_TIME,STALENESS_AT_DONE_SEC,DURATION_SEC,STATE
QUOTES_DAILY_IT,2026-06-17 07:11:08.561 -0700,1,1,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:11:46.696 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:11:47.686 -0700,1,0,SUCCEEDED
QUOTES_IT,2026-06-17 07:11:49.111 -0700,1,1,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:12:37.861 -0700,4,3,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:13:25.329 -0700,4,3,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:14:13.174 -0700,4,3,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:15:02.007 -0700,5,4,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:15:50.293 -0700,5,4,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:16:39.121 -0700,6,5,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:17:27.817 -0700,6,5,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:18:16.532 -0700,7,6,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:19:04.844 -0700,7,6,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:19:53.431 -0700,8,7,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:20:41.652 -0700,8,7,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:21:30.284 -0700,9,8,SUCCEEDED
QUOTES_IT,2026-06-17 07:21:37.555 -0700,208,207,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:22:18.816 -0700,9,8,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:23:08.170 -0700,11,10,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:23:55.936 -0700,10,9,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:24:44.633 -0700,11,10,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:25:33.363 -0700,12,11,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:26:22.237 -0700,13,12,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:26:58.743 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:27:46.780 -0700,1,0,SUCCEEDED
QUOTES_IT,2026-06-17 07:28:23.538 -0700,230,229,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:28:34.639 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:29:22.859 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:30:10.787 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:30:58.871 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:31:46.887 -0700,1,0,SUCCEEDED
QUOTES_IT,2026-06-17 07:31:48.027 -0700,51,50,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:32:35.024 -0700,2,1,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:33:23.000 -0700,2,1,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:34:11.050 -0700,2,1,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:34:58.537 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:35:46.715 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:36:34.681 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-17 07:37:22.911 -0700,1,0,SUCCEEDED
QUOTES_IT,2026-06-17 07:37:22.929 -0700,1,0,SUCCEEDED
