NAME,REFRESH_END_TIME,STALENESS_AT_DONE_SEC,DURATION_SEC,STATE
QUOTES_IT,2026-06-16 02:37:42.383 -0700,1,1,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:12:39.186 -0700,6,5,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:13:25.672 -0700,4,3,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:14:15.087 -0700,6,5,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:15:04.633 -0700,7,6,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:15:53.283 -0700,8,7,SUCCEEDED
QUOTES_IT,2026-06-16 03:15:56.322 -0700,59,58,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:16:42.729 -0700,9,8,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:17:32.247 -0700,11,10,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:18:21.147 -0700,12,11,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:19:10.879 -0700,13,12,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:20:00.053 -0700,15,13,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:20:49.277 -0700,16,15,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:21:38.050 -0700,17,16,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:22:27.400 -0700,18,17,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:23:17.157 -0700,20,19,SUCCEEDED
QUOTES_IT,2026-06-16 03:23:42.874 -0700,141,141,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:24:06.237 -0700,21,20,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:24:57.396 -0700,24,21,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:25:43.375 -0700,22,20,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:26:16.811 -0700,7,7,SUCCEEDED
QUOTES_DAILY_IT,2026-06-16 03:27:07.021 -0700,10,8,SUCCEEDED
