NAME,REFRESH_END_TIME,STALENESS_AT_DONE_SEC,DURATION_SEC,STATE
QUOTES_IT,2026-06-20 19:21:52.887 -0700,31,30,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:22:09.749 -0700,48,47,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:22:45.802 -0700,36,35,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:23:33.665 -0700,36,35,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:24:22.076 -0700,37,36,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:25:10.515 -0700,37,36,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:25:57.751 -0700,36,35,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:26:48.266 -0700,39,37,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:27:35.256 -0700,38,37,SUCCEEDED
QUOTES_IT,2026-06-20 19:28:17.955 -0700,32,31,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:28:35.978 -0700,50,49,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:29:59.878 -0700,38,37,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:30:49.855 -0700,40,38,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:31:34.187 -0700,37,35,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:32:21.110 -0700,36,35,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:33:09.344 -0700,36,35,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:33:57.710 -0700,36,35,SUCCEEDED
QUOTES_IT,2026-06-20 19:34:40.716 -0700,31,30,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:34:57.052 -0700,48,47,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:35:33.176 -0700,36,35,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:36:22.682 -0700,37,36,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:37:10.574 -0700,37,36,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:37:57.249 -0700,36,35,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:38:46.997 -0700,37,36,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:39:34.640 -0700,37,36,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:40:23.600 -0700,38,37,SUCCEEDED
QUOTES_IT,2026-06-20 19:41:05.796 -0700,32,31,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:41:23.466 -0700,50,49,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:42:47.595 -0700,38,37,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:43:36.422 -0700,39,38,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:44:24.156 -0700,39,38,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:45:09.393 -0700,36,35,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:45:57.613 -0700,36,35,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:46:47.130 -0700,38,36,SUCCEEDED
QUOTES_IT,2026-06-20 19:47:29.261 -0700,32,31,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:47:45.922 -0700,48,47,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:48:22.202 -0700,37,36,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:49:10.896 -0700,37,36,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:49:59.067 -0700,38,37,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:50:46.641 -0700,37,36,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:51:35.347 -0700,38,37,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:52:24.742 -0700,39,38,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:53:10.790 -0700,37,36,SUCCEEDED
QUOTES_IT,2026-06-20 19:53:54.371 -0700,33,32,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:54:12.929 -0700,51,50,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:55:36.264 -0700,39,38,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:56:23.399 -0700,38,37,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:57:11.538 -0700,38,37,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:57:59.442 -0700,38,37,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:58:45.618 -0700,36,35,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 19:59:33.929 -0700,36,35,SUCCEEDED
QUOTES_IT,2026-06-20 20:00:19.441 -0700,34,33,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 20:00:34.966 -0700,49,48,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 20:01:12.055 -0700,39,37,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 20:01:59.468 -0700,38,37,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 20:02:47.015 -0700,38,37,SUCCEEDED
QUOTES_DAILY_IT,2026-06-20 20:03:35.234 -0700,38,37,SUCCEEDED
