source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec,compilation_sec,execution_sec,residual_sec,included_in_plot,exclusion_reason,display_compilation_sec,display_execution_sec
2,2,2026-08-11T11:28:57Z,532996784,1,Single-symbol summary,1.779,1.728,0.051,-6.245004513516506e-17,True,,7.3205,0.25150000000000006
3,3,2026-08-11T11:38:57Z,1108625165,1,Single-symbol summary,6.652,6.474,0.102,0.07599999999999994,True,,8.167,0.4009999999999998
4,4,2026-08-11T11:48:57Z,1658912507,1,Single-symbol summary,8.698,8.167,0.401,0.13000000000000056,True,,8.2515,0.4444999999999997
5,5,2026-08-11T11:58:57Z,2217147353,1,Single-symbol summary,9.072,8.336,0.488,0.2479999999999989,True,,8.336,0.48799999999999955
6,6,2026-08-11T12:08:57Z,2786291244,1,Single-symbol summary,10.013,9.266,0.557,0.18999999999999984,True,,9.266,0.5570000000000004
7,7,2026-08-11T12:18:57Z,3343738155,1,Single-symbol summary,10.651,9.74,0.396,0.5149999999999996,True,,9.74,0.3960000000000008
8,8,2026-08-11T12:28:57Z,3899391577,1,Single-symbol summary,10.881,10.257,0.49,0.13400000000000056,True,,10.257,0.4900000000000002
9,9,2026-08-11T12:38:57Z,4448004794,1,Single-symbol summary,11.605,10.906,0.443,0.25599999999999984,True,,10.655,0.4870000000000001
10,10,2026-08-11T12:48:57Z,5002254267,1,Single-symbol summary,11.572,10.655,0.487,0.4299999999999998,True,,10.906,0.4429999999999996
11,11,2026-08-11T12:58:57Z,5553730140,1,Single-symbol summary,12.258,11.568,0.438,0.2519999999999995,True,,11.568,0.4380000000000006
12,12,2026-08-11T13:08:57Z,6107183801,1,Single-symbol summary,12.97,12.073,0.506,0.39100000000000024,True,,11.815,0.532
13,13,2026-08-11T13:18:57Z,6662885451,1,Single-symbol summary,13.804,12.708,0.519,0.5770000000000001,True,,11.815,0.532
14,14,2026-08-11T13:28:57Z,7220407062,1,Single-symbol summary,12.653,11.815,0.532,0.30600000000000094,True,,11.815,0.532
15,15,2026-08-11T13:38:57Z,7772453021,1,Single-symbol summary,14.05,13.739,0.23,0.08099999999999993,True,,11.815,0.532
16,16,2026-08-11T13:48:57Z,8327660844,1,Single-symbol summary,6.553,5.673,0.356,0.5239999999999999,True,,9.99,0.4369999999999994
17,17,2026-08-11T13:58:57Z,8869790384,1,Single-symbol summary,10.545,9.881,0.546,0.11799999999999966,True,,9.99,0.4369999999999994
18,18,2026-08-11T14:08:57Z,9416167217,1,Single-symbol summary,10.151,9.505,0.513,0.132999999999999,True,,9.99,0.4369999999999994
19,19,2026-08-11T14:18:57Z,9966828956,1,Single-symbol summary,10.8,9.99,0.417,0.3930000000000005,True,,9.881,0.5259999999999998
20,20,2026-08-11T14:28:57Z,10515573711,1,Single-symbol summary,10.76,10.095,0.473,0.19199999999999917,True,,9.881,0.5259999999999998
21,21,2026-08-11T14:38:57Z,11061458462,1,Single-symbol summary,10.962,10.283,0.426,0.2530000000000003,True,,9.767,0.4559999999999995
22,22,2026-08-11T14:48:57Z,11598082800,1,Single-symbol summary,10.298,9.767,0.456,0.07500000000000057,True,,9.99,0.4169999999999998
23,23,2026-08-11T14:58:57Z,12155361632,1,Single-symbol summary,10.331,9.61,0.526,0.19500000000000006,True,,10.095,0.47300000000000075
24,24,2026-08-11T15:08:57Z,12701532891,1,Single-symbol summary,7.681,6.984,0.631,0.06600000000000006,True,,10.283,0.42600000000000016
25,25,2026-08-11T15:18:57Z,13239818975,1,Single-symbol summary,12.144,11.441,0.45,0.2529999999999994,True,,11.441,0.4499999999999993
26,26,2026-08-11T15:28:57Z,13783825272,1,Single-symbol summary,12.569,11.791,0.462,0.31600000000000045,True,,11.536,0.5749999999999993
27,27,2026-08-11T15:38:57Z,14320432691,1,Single-symbol summary,12.425,11.761,0.423,0.2410000000000015,True,,11.761,0.42300000000000004
28,28,2026-08-11T15:48:57Z,14865686419,1,Single-symbol summary,13.351,12.684,0.584,0.08300000000000163,True,,11.761,0.42300000000000004
29,29,2026-08-11T15:58:57Z,15406449067,1,Single-symbol summary,12.566,11.536,0.575,0.4550000000000012,True,,11.791,0.46199999999999974
30,30,2026-08-11T16:08:57Z,15953152260,1,Single-symbol summary,14.158,13.411,0.58,0.16699999999999993,True,,12.684,0.5839999999999996
31,31,2026-08-11T16:18:57Z,16496810019,1,Single-symbol summary,12.407,11.438,0.522,0.4469999999999994,True,,13.337,0.5920000000000005
32,32,2026-08-11T16:28:57Z,17037168163,1,Single-symbol summary,13.994,13.337,0.592,0.06500000000000006,True,,13.411,0.5800000000000001
33,33,2026-08-11T16:38:57Z,17587595862,1,Single-symbol summary,14.664,13.995,0.528,0.14100000000000046,True,,13.995,0.5280000000000005
