condition,source_line,iteration,observed_at,raw_rows,mv_rows,query_number,query_name,latency_sec,compilation_sec,execution_sec,legend_label,attribution_legend_label,data_path,warehouse,display_latency_sec,included_in_plot,exclusion_reason
imv_gen2,2,2,2026-08-11T11:28:57Z,532996784,9800,1,Single-symbol summary,1.566,1.022,0.378,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,1.336,True,
imv_gen2,3,3,2026-08-11T11:38:57Z,1108625165,19603,1,Single-symbol summary,0.998,0.737,0.112,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,1.566,True,
imv_gen2,4,4,2026-08-11T11:48:57Z,1658912507,33130,1,Single-symbol summary,1.106,0.667,0.355,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,1.7515,True,
imv_gen2,5,5,2026-08-11T11:58:57Z,2217147353,34501,1,Single-symbol summary,1.937,1.363,0.491,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,1.937,True,
imv_gen2,6,6,2026-08-11T12:08:57Z,2786291244,44541,1,Single-symbol summary,2.293,1.444,0.493,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.293,True,
imv_gen2,7,7,2026-08-11T12:18:57Z,3343738155,54595,1,Single-symbol summary,3.811,3.261,0.438,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.573,True,
imv_gen2,8,8,2026-08-11T12:28:57Z,3899391577,64476,1,Single-symbol summary,2.573,1.787,0.617,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.777,True,
imv_gen2,9,9,2026-08-11T12:38:57Z,4448004794,74152,1,Single-symbol summary,3.519,2.848,0.579,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.519,True,
imv_gen2,10,10,2026-08-11T12:48:57Z,5002254267,75251,1,Single-symbol summary,2.777,2.204,0.449,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.685,True,
imv_gen2,11,11,2026-08-11T12:58:57Z,5553730140,89889,1,Single-symbol summary,3.685,3.11,0.47,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.519,True,
imv_gen2,12,12,2026-08-11T13:08:57Z,6107183801,99951,1,Single-symbol summary,3.735,3.106,0.495,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.685,True,
imv_gen2,13,13,2026-08-11T13:18:57Z,6662885451,109945,1,Single-symbol summary,4.888,4.333,0.48,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.685,True,
imv_gen2,14,14,2026-08-11T13:28:57Z,7220407062,119560,1,Single-symbol summary,3.35,2.858,0.417,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.685,True,
imv_gen2,15,15,2026-08-11T13:38:57Z,7772453021,120361,1,Single-symbol summary,3.793,3.25,0.46,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.456,True,
imv_gen2,16,16,2026-08-11T13:48:57Z,8327660844,130332,1,Single-symbol summary,1.322,0.8,0.401,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.35,True,
imv_gen2,17,17,2026-08-11T13:58:57Z,8869790384,144506,1,Single-symbol summary,1.514,0.845,0.581,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,1.711,True,
imv_gen2,18,18,2026-08-11T14:08:57Z,9416167217,154291,1,Single-symbol summary,3.456,2.461,0.558,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,1.711,True,
