source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec,compilation_sec,execution_sec,residual_sec,included_in_plot,exclusion_reason,display_compilation_sec,display_execution_sec
2,2,2026-08-11T11:28:57Z,532996784,1,Single-symbol summary,0.226,0.184,0.042,6.938893903907228e-18,True,,0.1905,0.07900000000000001
3,3,2026-08-11T11:38:57Z,1108625165,1,Single-symbol summary,0.321,0.264,0.057,-6.938893903907228e-18,True,,0.184,0.08100000000000002
4,4,2026-08-11T11:48:57Z,1658912507,1,Single-symbol summary,0.265,0.176,0.089,2.7755575615628914e-17,True,,0.1905,0.07900000000000001
5,5,2026-08-11T11:58:57Z,2217147353,1,Single-symbol summary,0.274,0.197,0.077,1.3877787807814457e-17,True,,0.197,0.07700000000000001
6,6,2026-08-11T12:08:57Z,2786291244,1,Single-symbol summary,0.247,0.144,0.103,1.3877787807814457e-17,True,,0.217,0.08499999999999999
7,7,2026-08-11T12:18:57Z,3343738155,1,Single-symbol summary,0.331,0.222,0.109,1.3877787807814457e-17,True,,0.217,0.08499999999999999
8,8,2026-08-11T12:28:57Z,3899391577,1,Single-symbol summary,0.302,0.217,0.085,-1.3877787807814457e-17,True,,0.217,0.08499999999999999
9,9,2026-08-11T12:38:57Z,4448004794,1,Single-symbol summary,0.369,0.275,0.094,-2.7755575615628914e-17,True,,0.217,0.08499999999999999
10,10,2026-08-11T12:48:57Z,5002254267,1,Single-symbol summary,0.369,0.263,0.106,-1.3877787807814457e-17,True,,0.217,0.11400000000000002
11,11,2026-08-11T12:58:57Z,5553730140,1,Single-symbol summary,0.292,0.2,0.092,-2.7755575615628914e-17,True,,0.217,0.15
12,12,2026-08-11T13:08:57Z,6107183801,1,Single-symbol summary,0.234,0.121,0.113,1.3877787807814457e-17,True,,0.2,0.16699999999999998
13,13,2026-08-11T13:18:57Z,6662885451,1,Single-symbol summary,0.367,0.188,0.179,0.0,True,,0.196,0.11299999999999999
14,14,2026-08-11T13:28:57Z,7220407062,1,Single-symbol summary,0.478,0.361,0.117,-1.3877787807814457e-17,True,,0.188,0.10400000000000004
15,15,2026-08-11T13:38:57Z,7772453021,1,Single-symbol summary,0.238,0.135,0.103,-1.3877787807814457e-17,True,,0.188,0.121
16,16,2026-08-11T13:48:57Z,8327660844,1,Single-symbol summary,0.309,0.196,0.113,-1.3877787807814457e-17,True,,0.188,0.124
17,17,2026-08-11T13:58:57Z,8869790384,1,Single-symbol summary,0.277,0.148,0.129,2.7755575615628914e-17,True,,0.167,0.142
18,18,2026-08-11T14:08:57Z,9416167217,1,Single-symbol summary,0.399,0.282,0.117,4.163336342344337e-17,True,,0.167,0.142
19,19,2026-08-11T14:18:57Z,9966828956,1,Single-symbol summary,0.312,0.167,0.145,0.0,True,,0.185,0.124
20,20,2026-08-11T14:28:57Z,10515573711,1,Single-symbol summary,0.276,0.12,0.156,2.7755575615628914e-17,True,,0.185,0.127
21,21,2026-08-11T14:38:57Z,11061458462,1,Single-symbol summary,0.38,0.246,0.134,0.0,True,,0.246,0.134
22,22,2026-08-11T14:48:57Z,11598082800,1,Single-symbol summary,0.292,0.185,0.107,-1.3877787807814457e-17,True,,0.246,0.134
23,23,2026-08-11T14:58:57Z,12155361632,1,Single-symbol summary,0.422,0.289,0.133,0.0,True,,0.246,0.134
24,24,2026-08-11T15:08:57Z,12686918328,1,Single-symbol summary,0.452,0.317,0.135,0.0,True,,0.246,0.134
25,25,2026-08-11T15:18:57Z,13239818975,1,Single-symbol summary,0.595,0.337,0.258,-5.551115123125783e-17,True,,0.288,0.134
26,26,2026-08-11T15:28:57Z,13783825272,1,Single-symbol summary,0.331,0.192,0.139,0.0,True,,0.288,0.134
27,27,2026-08-11T15:38:57Z,14320432691,1,Single-symbol summary,0.298,0.174,0.124,0.0,True,,0.228,0.147
28,28,2026-08-11T15:48:57Z,14865686419,1,Single-symbol summary,0.444,0.288,0.156,2.7755575615628914e-17,True,,0.192,0.183
29,29,2026-08-11T15:58:57Z,15406449067,1,Single-symbol summary,0.251,0.11,0.141,2.7755575615628914e-17,True,,0.192,0.183
30,30,2026-08-11T16:08:57Z,15953152260,1,Single-symbol summary,0.375,0.228,0.147,0.0,True,,0.228,0.16
31,31,2026-08-11T16:18:57Z,16496810019,1,Single-symbol summary,0.388,0.192,0.196,0.0,True,,0.272,0.15800000000000003
32,32,2026-08-11T16:28:57Z,17037168163,1,Single-symbol summary,0.441,0.293,0.148,2.7755575615628914e-17,True,,0.228,0.16
33,33,2026-08-11T16:38:57Z,17587595862,1,Single-symbol summary,0.439,0.274,0.165,-2.7755575615628914e-17,True,,0.272,0.15800000000000003
34,34,2026-08-11T16:48:57Z,18120902444,1,Single-symbol summary,0.43,0.272,0.158,-2.7755575615628914e-17,True,,0.272,0.15800000000000003
35,35,2026-08-11T16:58:57Z,18664388826,1,Single-symbol summary,0.353,0.199,0.154,-2.7755575615628914e-17,True,,0.272,0.15800000000000003
36,36,2026-08-11T17:08:57Z,19216193045,1,Single-symbol summary,0.474,0.341,0.133,-5.551115123125783e-17,True,,0.272,0.15800000000000003
37,37,2026-08-11T17:18:57Z,19745883933,1,Single-symbol summary,0.398,0.097,0.301,5.551115123125783e-17,True,,0.25,0.14800000000000002
38,38,2026-08-11T17:28:57Z,20305329136,1,Single-symbol summary,0.397,0.233,0.164,0.0,True,,0.233,0.164
39,39,2026-08-11T17:38:57Z,20844684066,1,Single-symbol summary,0.44,0.288,0.152,2.7755575615628914e-17,True,,0.25,0.14800000000000002
40,40,2026-08-11T17:48:57Z,21391428069,1,Single-symbol summary,0.391,0.25,0.141,2.7755575615628914e-17,True,,0.233,0.164
41,41,2026-08-11T17:58:57Z,21938345201,1,Single-symbol summary,0.36,0.204,0.156,0.0,True,,0.25,0.14700000000000002
42,42,2026-08-11T18:08:57Z,22480394175,1,Single-symbol summary,0.437,0.275,0.162,-2.7755575615628914e-17,True,,0.25,0.14100000000000001
43,43,2026-08-11T18:18:57Z,23027036303,1,Single-symbol summary,0.228,0.062,0.166,0.0,True,,0.25,0.14100000000000001
44,44,2026-08-11T18:28:57Z,23563684837,1,Single-symbol summary,0.467,0.319,0.148,2.7755575615628914e-17,True,,0.212,0.157
45,45,2026-08-11T18:38:57Z,24108292723,1,Single-symbol summary,0.369,0.205,0.164,0.0,True,,0.265,0.16700000000000004
46,46,2026-08-11T18:48:57Z,24651647019,1,Single-symbol summary,0.432,0.269,0.163,-2.7755575615628914e-17,True,,0.265,0.16700000000000004
47,47,2026-08-11T18:58:57Z,25200289313,1,Single-symbol summary,0.366,0.212,0.154,0.0,True,,0.269,0.19799999999999995
48,48,2026-08-11T19:08:57Z,25747852434,1,Single-symbol summary,0.475,0.265,0.21,-2.7755575615628914e-17,True,,0.265,0.173
49,49,2026-08-11T19:18:57Z,26283076869,1,Single-symbol summary,0.685,0.387,0.298,5.551115123125783e-17,True,,0.265,0.173
50,50,2026-08-11T19:28:57Z,26820178083,1,Single-symbol summary,0.508,0.321,0.187,0.0,True,,0.265,0.20999999999999996
51,51,2026-08-11T19:38:57Z,27375417517,1,Single-symbol summary,0.438,0.265,0.173,0.0,True,,0.265,0.20999999999999996
52,52,2026-08-11T19:48:57Z,27918995748,1,Single-symbol summary,0.406,0.248,0.158,2.7755575615628914e-17,True,,0.265,0.173
53,53,2026-08-11T19:58:57Z,28455528243,1,Single-symbol summary,0.477,0.301,0.176,0.0,True,,0.264,0.174
54,54,2026-08-11T20:08:57Z,28993570106,1,Single-symbol summary,0.276,0.095,0.181,2.7755575615628914e-17,True,,0.248,0.16400000000000003
55,55,2026-08-11T20:18:57Z,29545700964,1,Single-symbol summary,0.405,0.234,0.171,0.0,True,,0.234,0.17200000000000001
56,56,2026-08-11T20:28:57Z,30083988028,1,Single-symbol summary,0.442,0.264,0.178,0.0,True,,0.234,0.17800000000000002
57,57,2026-08-11T20:38:57Z,30630575890,1,Single-symbol summary,0.412,0.228,0.184,-2.7755575615628914e-17,True,,0.228,0.17700000000000002
58,58,2026-08-11T20:48:57Z,31165284381,1,Single-symbol summary,0.38,0.181,0.199,0.0,True,,0.234,0.17800000000000002
59,59,2026-08-11T20:58:57Z,31720586913,1,Single-symbol summary,0.553,0.349,0.204,8.326672684688674e-17,True,,0.264,0.178
