system,source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec,compilation_sec,execution_sec,runtime_source,included_in_plot,exclusion_reason
ClickHouse Cloud,2,2,2026-08-08T07:56:02Z,3742528876,1,Hourly OHLCV bars,0.865,,,clickhouse-client --time,True,
ClickHouse Cloud,3,3,2026-08-08T08:56:02Z,7149139248,1,Hourly OHLCV bars,0.557,,,clickhouse-client --time,True,
ClickHouse Cloud,4,4,2026-08-08T09:56:02Z,10451300014,1,Hourly OHLCV bars,0.589,,,clickhouse-client --time,True,
ClickHouse Cloud,5,5,2026-08-08T10:56:02Z,13693746344,1,Hourly OHLCV bars,0.935,,,clickhouse-client --time,True,
ClickHouse Cloud,6,6,2026-08-08T11:56:02Z,17207612605,1,Hourly OHLCV bars,0.508,,,clickhouse-client --time,True,
ClickHouse Cloud,7,7,2026-08-08T12:56:02Z,20600910656,1,Hourly OHLCV bars,0.898,,,clickhouse-client --time,True,
ClickHouse Cloud,8,8,2026-08-08T13:56:02Z,23847648964,1,Hourly OHLCV bars,0.831,,,clickhouse-client --time,True,
ClickHouse Cloud,9,9,2026-08-08T14:56:02Z,27120394813,1,Hourly OHLCV bars,0.723,,,clickhouse-client --time,True,
ClickHouse Cloud,10,10,2026-08-08T15:56:02Z,30468775164,1,Hourly OHLCV bars,0.782,,,clickhouse-client --time,True,
ClickHouse Cloud,11,11,2026-08-08T16:56:02Z,33749879001,1,Hourly OHLCV bars,0.587,,,clickhouse-client --time,True,
ClickHouse Cloud,12,12,2026-08-08T17:56:02Z,36853722010,1,Hourly OHLCV bars,1.08,,,clickhouse-client --time,True,
ClickHouse Cloud,13,13,2026-08-08T18:56:02Z,39940404643,1,Hourly OHLCV bars,0.728,,,clickhouse-client --time,True,
ClickHouse Cloud,14,14,2026-08-08T19:56:02Z,43039194322,1,Hourly OHLCV bars,0.927,,,clickhouse-client --time,True,
ClickHouse Cloud,15,15,2026-08-08T20:56:02Z,46111116140,1,Hourly OHLCV bars,0.829,,,clickhouse-client --time,True,
ClickHouse Cloud,16,16,2026-08-08T21:56:02Z,49175866023,1,Hourly OHLCV bars,0.878,,,clickhouse-client --time,True,
ClickHouse Cloud,17,17,2026-08-08T22:56:02Z,52443266481,1,Hourly OHLCV bars,0.657,,,clickhouse-client --time,True,
ClickHouse Cloud,18,18,2026-08-08T23:56:02Z,55419548257,1,Hourly OHLCV bars,0.692,,,clickhouse-client --time,True,
ClickHouse Cloud,19,19,2026-08-09T00:56:02Z,58512627462,1,Hourly OHLCV bars,0.854,,,clickhouse-client --time,True,
ClickHouse Cloud,20,20,2026-08-09T01:56:02Z,61372336571,1,Hourly OHLCV bars,0.9,,,clickhouse-client --time,True,
ClickHouse Cloud,21,21,2026-08-09T02:56:02Z,64300511639,1,Hourly OHLCV bars,0.749,,,clickhouse-client --time,True,
ClickHouse Cloud,22,22,2026-08-09T03:56:02Z,67296751626,1,Hourly OHLCV bars,0.74,,,clickhouse-client --time,True,
ClickHouse Cloud,23,23,2026-08-09T04:56:02Z,70171105615,1,Hourly OHLCV bars,1.133,,,clickhouse-client --time,True,
ClickHouse Cloud,24,24,2026-08-09T05:56:02Z,73014746623,1,Hourly OHLCV bars,0.796,,,clickhouse-client --time,True,
ClickHouse Cloud,25,25,2026-08-09T06:56:02Z,75968034150,1,Hourly OHLCV bars,0.809,,,clickhouse-client --time,True,
ClickHouse Cloud,26,26,2026-08-09T07:56:02Z,78744711237,1,Hourly OHLCV bars,0.871,,,clickhouse-client --time,True,
ClickHouse Cloud,27,27,2026-08-09T08:56:02Z,81363815092,1,Hourly OHLCV bars,0.772,,,clickhouse-client --time,True,
ClickHouse Cloud,28,28,2026-08-09T09:56:02Z,83951753947,1,Hourly OHLCV bars,1.039,,,clickhouse-client --time,True,
ClickHouse Cloud,29,29,2026-08-09T10:56:02Z,87063780214,1,Hourly OHLCV bars,1.18,,,clickhouse-client --time,True,
ClickHouse Cloud,30,30,2026-08-09T11:56:02Z,90313224986,1,Hourly OHLCV bars,0.81,,,clickhouse-client --time,True,
ClickHouse Cloud,31,31,2026-08-09T12:56:02Z,93296187953,1,Hourly OHLCV bars,1.012,,,clickhouse-client --time,True,
ClickHouse Cloud,32,32,2026-08-09T13:56:02Z,96365836441,1,Hourly OHLCV bars,0.834,,,clickhouse-client --time,True,
ClickHouse Cloud,33,33,2026-08-09T14:56:02Z,99569689379,1,Hourly OHLCV bars,0.978,,,clickhouse-client --time,True,
Snowflake,2,2,2026-08-11T12:18:57Z,3343738155,1,Hourly OHLCV bars,0.229,0.089,0.14,runner result (end-to-end); compilation/execution retained,True,
Snowflake,3,3,2026-08-11T13:18:57Z,6662885451,1,Hourly OHLCV bars,0.467,0.247,0.22,runner result (end-to-end); compilation/execution retained,True,
Snowflake,4,4,2026-08-11T14:18:57Z,9966828956,1,Hourly OHLCV bars,0.308,0.084,0.224,runner result (end-to-end); compilation/execution retained,True,
Snowflake,5,5,2026-08-11T15:18:57Z,13239818975,1,Hourly OHLCV bars,0.699,0.341,0.358,runner result (end-to-end); compilation/execution retained,True,
Snowflake,6,6,2026-08-11T16:18:57Z,16496810019,1,Hourly OHLCV bars,0.551,0.194,0.357,runner result (end-to-end); compilation/execution retained,True,
Snowflake,7,7,2026-08-11T17:18:57Z,19759272533,1,Hourly OHLCV bars,0.603,0.254,0.349,runner result (end-to-end); compilation/execution retained,True,
Snowflake,8,8,2026-08-11T18:18:57Z,23027036303,1,Hourly OHLCV bars,0.394,0.083,0.311,runner result (end-to-end); compilation/execution retained,True,
Snowflake,9,9,2026-08-11T19:18:57Z,26292597940,1,Hourly OHLCV bars,0.75,0.231,0.519,runner result (end-to-end); compilation/execution retained,True,
Snowflake,10,10,2026-08-11T20:18:57Z,29545700964,1,Hourly OHLCV bars,0.424,0.072,0.352,runner result (end-to-end); compilation/execution retained,True,
Snowflake,11,11,2026-08-11T21:18:57Z,32804567571,1,Hourly OHLCV bars,0.807,0.358,0.449,runner result (end-to-end); compilation/execution retained,True,
Snowflake,12,12,2026-08-11T22:18:57Z,36086551556,1,Hourly OHLCV bars,0.861,0.219,0.642,runner result (end-to-end); compilation/execution retained,True,
Snowflake,13,13,2026-08-11T23:18:57Z,39353814542,1,Hourly OHLCV bars,0.824,0.244,0.58,runner result (end-to-end); compilation/execution retained,True,
Snowflake,14,14,2026-08-12T00:18:57Z,42638946619,1,Hourly OHLCV bars,0.602,0.079,0.523,runner result (end-to-end); compilation/execution retained,True,
Snowflake,15,15,2026-08-12T01:18:57Z,45915210443,1,Hourly OHLCV bars,0.587,0.065,0.522,runner result (end-to-end); compilation/execution retained,True,
Snowflake,16,16,2026-08-12T02:18:57Z,49198792764,1,Hourly OHLCV bars,0.824,0.167,0.657,runner result (end-to-end); compilation/execution retained,True,
Snowflake,17,17,2026-08-12T03:18:57Z,52476957308,1,Hourly OHLCV bars,1.22,0.347,0.873,runner result (end-to-end); compilation/execution retained,True,
Snowflake,18,18,2026-08-12T04:18:57Z,55728939933,1,Hourly OHLCV bars,0.972,0.291,0.681,runner result (end-to-end); compilation/execution retained,True,
Snowflake,19,19,2026-08-12T05:18:57Z,58996538773,1,Hourly OHLCV bars,1.04,0.422,0.618,runner result (end-to-end); compilation/execution retained,True,
Snowflake,20,20,2026-08-12T06:18:57Z,62279567684,1,Hourly OHLCV bars,1.178,0.534,0.644,runner result (end-to-end); compilation/execution retained,True,
Snowflake,21,21,2026-08-12T07:18:57Z,65557201130,1,Hourly OHLCV bars,1.245,0.39,0.855,runner result (end-to-end); compilation/execution retained,True,
Snowflake,22,22,2026-08-12T08:18:57Z,68815578104,1,Hourly OHLCV bars,1.007,0.077,0.93,runner result (end-to-end); compilation/execution retained,True,
Snowflake,23,23,2026-08-12T09:18:57Z,72058735690,1,Hourly OHLCV bars,1.328,0.326,1.002,runner result (end-to-end); compilation/execution retained,True,
Snowflake,24,24,2026-08-12T10:18:57Z,75292467460,1,Hourly OHLCV bars,1.143,0.078,1.065,runner result (end-to-end); compilation/execution retained,True,
Snowflake,25,25,2026-08-12T11:18:57Z,78556038400,1,Hourly OHLCV bars,0.9,0.098,0.802,runner result (end-to-end); compilation/execution retained,True,
Snowflake,26,26,2026-08-12T12:18:57Z,81806775602,1,Hourly OHLCV bars,0.888,0.081,0.807,runner result (end-to-end); compilation/execution retained,True,
Snowflake,27,27,2026-08-12T13:18:57Z,85080158709,1,Hourly OHLCV bars,1.389,0.246,1.143,runner result (end-to-end); compilation/execution retained,True,
Snowflake,28,28,2026-08-12T14:18:57Z,88330971978,1,Hourly OHLCV bars,1.374,0.297,1.077,runner result (end-to-end); compilation/execution retained,True,
Snowflake,29,29,2026-08-12T15:18:57Z,91608517197,1,Hourly OHLCV bars,1.06,0.11,0.95,runner result (end-to-end); compilation/execution retained,True,
Snowflake,30,30,2026-08-12T16:18:57Z,94877773840,1,Hourly OHLCV bars,1.36,0.136,1.224,runner result (end-to-end); compilation/execution retained,True,
Snowflake,31,31,2026-08-12T17:18:57Z,98161784620,1,Hourly OHLCV bars,1.817,0.545,1.272,runner result (end-to-end); compilation/execution retained,True,
ClickHouse Cloud,2,2,2026-08-08T07:56:02Z,3742528876,2,Risk & liquidity (B7),0.421,,,clickhouse-client --time,True,
ClickHouse Cloud,3,3,2026-08-08T08:56:02Z,7149139248,2,Risk & liquidity (B7),0.307,,,clickhouse-client --time,True,
ClickHouse Cloud,4,4,2026-08-08T09:56:02Z,10451300014,2,Risk & liquidity (B7),0.322,,,clickhouse-client --time,True,
ClickHouse Cloud,5,5,2026-08-08T10:56:02Z,13693746344,2,Risk & liquidity (B7),0.428,,,clickhouse-client --time,True,
ClickHouse Cloud,6,6,2026-08-08T11:56:02Z,17207612605,2,Risk & liquidity (B7),0.334,,,clickhouse-client --time,True,
ClickHouse Cloud,7,7,2026-08-08T12:56:02Z,20600910656,2,Risk & liquidity (B7),0.51,,,clickhouse-client --time,True,
ClickHouse Cloud,8,8,2026-08-08T13:56:02Z,23847648964,2,Risk & liquidity (B7),0.597,,,clickhouse-client --time,True,
ClickHouse Cloud,9,9,2026-08-08T14:56:02Z,27120394813,2,Risk & liquidity (B7),0.455,,,clickhouse-client --time,True,
ClickHouse Cloud,10,10,2026-08-08T15:56:02Z,30468775164,2,Risk & liquidity (B7),0.483,,,clickhouse-client --time,True,
