source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec,compilation_sec,execution_sec,residual_sec,included_in_plot,exclusion_reason,display_compilation_sec,display_execution_sec
2,2,2026-08-11T12:18:57Z,3343738155,1,Hourly OHLCV bars,0.229,0.089,0.14,0.0,True,,0.089,0.219
3,3,2026-08-11T13:18:57Z,6662885451,1,Hourly OHLCV bars,0.467,0.247,0.22,2.7755575615628914e-17,True,,0.16799999999999998,0.21949999999999997
4,4,2026-08-11T14:18:57Z,9966828956,1,Hourly OHLCV bars,0.308,0.084,0.224,-2.7755575615628914e-17,True,,0.194,0.27299999999999996
5,5,2026-08-11T15:18:57Z,13239818975,1,Hourly OHLCV bars,0.699,0.341,0.358,-5.551115123125783e-17,True,,0.247,0.30399999999999994
6,6,2026-08-11T16:18:57Z,16496810019,1,Hourly OHLCV bars,0.551,0.194,0.357,5.551115123125783e-17,True,,0.194,0.35699999999999993
7,7,2026-08-11T17:18:57Z,19759272533,1,Hourly OHLCV bars,0.603,0.254,0.349,0.0,True,,0.231,0.372
8,8,2026-08-11T18:18:57Z,23027036303,1,Hourly OHLCV bars,0.394,0.083,0.311,0.0,True,,0.194,0.35699999999999993
9,9,2026-08-11T19:18:57Z,26292597940,1,Hourly OHLCV bars,0.75,0.231,0.519,0.0,True,,0.231,0.372
10,10,2026-08-11T20:18:57Z,29545700964,1,Hourly OHLCV bars,0.424,0.072,0.352,0.0,True,,0.219,0.531
11,11,2026-08-11T21:18:57Z,32804567571,1,Hourly OHLCV bars,0.807,0.358,0.449,5.551115123125783e-17,True,,0.231,0.576
12,12,2026-08-11T22:18:57Z,36086551556,1,Hourly OHLCV bars,0.861,0.219,0.642,0.0,True,,0.219,0.588
13,13,2026-08-11T23:18:57Z,39353814542,1,Hourly OHLCV bars,0.824,0.244,0.58,0.0,True,,0.219,0.588
14,14,2026-08-12T00:18:57Z,42638946619,1,Hourly OHLCV bars,0.602,0.079,0.523,0.0,True,,0.167,0.6569999999999999
15,15,2026-08-12T01:18:57Z,45915210443,1,Hourly OHLCV bars,0.587,0.065,0.522,0.0,True,,0.167,0.6569999999999999
16,16,2026-08-12T02:18:57Z,49198792764,1,Hourly OHLCV bars,0.824,0.167,0.657,-1.1102230246251565e-16,True,,0.167,0.657
17,17,2026-08-12T03:18:57Z,52476957308,1,Hourly OHLCV bars,1.22,0.347,0.873,0.0,True,,0.291,0.681
18,18,2026-08-12T04:18:57Z,55728939933,1,Hourly OHLCV bars,0.972,0.291,0.681,0.0,True,,0.347,0.6930000000000001
19,19,2026-08-12T05:18:57Z,58996538773,1,Hourly OHLCV bars,1.04,0.422,0.618,1.1102230246251565e-16,True,,0.39,0.7879999999999999
20,20,2026-08-12T06:18:57Z,62279567684,1,Hourly OHLCV bars,1.178,0.534,0.644,-1.1102230246251565e-16,True,,0.39,0.65
21,21,2026-08-12T07:18:57Z,65557201130,1,Hourly OHLCV bars,1.245,0.39,0.855,1.1102230246251565e-16,True,,0.39,0.7879999999999999
22,22,2026-08-12T08:18:57Z,68815578104,1,Hourly OHLCV bars,1.007,0.077,0.93,-1.1102230246251565e-16,True,,0.326,0.8519999999999999
23,23,2026-08-12T09:18:57Z,72058735690,1,Hourly OHLCV bars,1.328,0.326,1.002,0.0,True,,0.098,1.045
24,24,2026-08-12T10:18:57Z,75292467460,1,Hourly OHLCV bars,1.143,0.078,1.065,0.0,True,,0.081,0.9260000000000002
25,25,2026-08-12T11:18:57Z,78556038400,1,Hourly OHLCV bars,0.9,0.098,0.802,0.0,True,,0.098,1.045
26,26,2026-08-12T12:18:57Z,81806775602,1,Hourly OHLCV bars,0.888,0.081,0.807,0.0,True,,0.098,1.045
27,27,2026-08-12T13:18:57Z,85080158709,1,Hourly OHLCV bars,1.389,0.246,1.143,0.0,True,,0.11,0.9500000000000001
28,28,2026-08-12T14:18:57Z,88330971978,1,Hourly OHLCV bars,1.374,0.297,1.077,2.220446049250313e-16,True,,0.136,1.2239999999999998
29,29,2026-08-12T15:18:57Z,91608517197,1,Hourly OHLCV bars,1.06,0.11,0.95,1.1102230246251565e-16,True,,0.246,1.128
30,30,2026-08-12T16:18:57Z,94877773840,1,Hourly OHLCV bars,1.36,0.136,1.224,2.220446049250313e-16,True,,0.2165,1.1505
31,31,2026-08-12T17:18:57Z,98161784620,1,Hourly OHLCV bars,1.817,0.545,1.272,-2.220446049250313e-16,True,,0.136,1.2239999999999998
2,2,2026-08-11T12:18:57Z,3343738155,2,Risk & liquidity (B7),0.315,0.191,0.124,0.0,True,,0.163,0.17599999999999996
3,3,2026-08-11T13:18:57Z,6662885451,2,Risk & liquidity (B7),0.339,0.145,0.194,2.7755575615628914e-17,True,,0.154,0.207
4,4,2026-08-11T14:18:57Z,9966828956,2,Risk & liquidity (B7),0.383,0.163,0.22,0.0,True,,0.163,0.22
5,5,2026-08-11T15:18:57Z,13239818975,2,Risk & liquidity (B7),0.751,0.143,0.608,0.0,True,,0.146,0.275
6,6,2026-08-11T16:18:57Z,16496810019,2,Risk & liquidity (B7),0.498,0.201,0.297,0.0,True,,0.163,0.33499999999999996
7,7,2026-08-11T17:18:57Z,19759272533,2,Risk & liquidity (B7),0.421,0.146,0.275,0.0,True,,0.167,0.584
8,8,2026-08-11T18:18:57Z,23027036303,2,Risk & liquidity (B7),0.983,0.319,0.664,-1.1102230246251565e-16,True,,0.167,0.3889999999999999
9,9,2026-08-11T19:18:57Z,26292597940,2,Risk & liquidity (B7),1.051,0.167,0.884,-1.1102230246251565e-16,True,,0.167,0.599
